sp,Ns,N1,N2,int_start,int_end,interval_length,int
pla1pi,47,84,79,1985-05-04,1990-07-28,5.233955097558356,2
lacmpa,20,30,29,1985-04-13,1990-07-10,5.245085813257754,2
drypst,1400,1635,1599,1985-06-07,1990-09-22,5.29674874243933,2
myrofr,7,7,7,1985-07-26,1990-10-31,5.270058708414874,2
ingaco,42,69,64,1985-04-21,1990-07-28,5.271054198927933,2
posola,47,56,50,1985-04-29,1990-07-30,5.254796477495108,2
casesy,85,127,113,1985-04-12,1990-07-07,5.238897198706024,2
pla2el,56,82,84,1985-05-04,1990-08-10,5.271720522488983,2
cordal,20,41,45,1985-04-19,1990-07-19,5.251468240709804,2
dio2ar,32,34,48,1985-03-13,1990-06-17,5.2667438893365555,2
tratas,5,16,7,1985-04-06,1990-06-04,5.165875733855187,2
colugl,0,0,0,NA,NA,NA,2
apeiti,1,4,5,1985-05-13,1990-05-17,5.015890410958904,2
gar2in,3250,3608,3790,1985-05-17,1990-08-24,5.2734890582222835,2
poutst,22,26,28,1985-04-17,1990-07-20,5.259001956947163,2
tab1gu,32,37,36,1985-03-18,1990-06-11,5.23429388292402,2
ingafa,44,55,67,1985-04-14,1990-07-05,5.227754874444711,2
sch1zo,0,0,0,NA,NA,NA,2
sterap,16,22,27,1985-04-15,1990-08-05,5.3084866934182005,2
cassel,606,696,759,1985-04-06,1990-07-12,5.267321227306646,2
calolo,456,555,722,1985-05-06,1990-07-31,5.239025257565081,2
hyeral,30,45,44,1985-04-16,1990-06-25,5.194409851944098,2
zuelgu,16,22,24,1985-06-10,1990-10-03,5.31873183893732,2
cecrin,9,116,83,1985-04-16,1990-07-18,5.256762240269533,2
hassfl,346,527,383,1985-04-24,1990-07-30,5.268848523315483,2
sponmo,6,24,48,1985-03-08,1990-06-04,5.24412100456621,2
ingama,308,652,561,1985-05-18,1990-08-23,5.26885921449083,2
allops,77,109,95,1985-05-18,1990-08-18,5.254469880872849,2
virosp,14,23,17,1985-05-09,1990-08-26,5.3016711628069935,2
sympgl,99,116,124,1985-06-05,1990-09-13,5.276312340957229,2
mar1la,10,14,10,1985-07-29,1990-10-18,5.226144814090018,2
ficutr,0,1,0,1985-09-18,NA,NA,2
aspicr,331,375,383,1985-06-01,1990-09-24,5.3156722724942504,2
dendar,18,30,19,1985-03-25,1990-06-05,5.199951934631099,2
andiin,166,208,200,1985-05-29,1990-09-14,5.298499473129609,2
diptpa,12,17,16,1985-04-21,1990-07-23,5.259760273972603,2
ast2gr,7,15,19,1985-05-06,1990-07-07,5.17414083153088,2
hirtam,26,33,32,1985-06-25,1990-10-08,5.291150373599002,2
ficuob,0,1,0,1985-06-26,NA,NA,2
tropra,191,231,241,1985-05-25,1990-09-01,5.274638648832933,2
protpa,2139,2510,2635,1985-04-08,1990-06-30,5.232653948164607,2
ficuto,4,9,4,1985-05-12,1990-09-26,5.378462709284627,2
unonpi,353,492,468,1985-05-07,1990-08-08,5.257336777266614,2
maquco,793,949,984,1985-05-08,1990-08-08,5.253056435042024,2
gar2ma,363,561,433,1985-04-29,1990-07-20,5.229410947005157,2
macrgl,56,69,71,1985-07-06,1990-10-22,5.297831539564967,2
cespma,2,3,3,1985-06-19,1990-12-14,5.49041095890411,2
cordla,533,754,796,1985-05-10,1990-08-11,5.257190680702671,2
cupala,23,31,35,1985-05-08,1990-08-25,5.299609873114074,2
zantse,0,0,0,NA,NA,NA,2
xyl1ma,553,657,730,1985-05-22,1990-09-07,5.29821188048623,2
geniam,43,48,45,1985-05-26,1990-09-03,5.277690258751902,2
ingasp,4,6,5,1985-03-25,1990-07-27,5.342191780821918,2
hampap,2,8,14,1985-04-14,1990-06-11,5.160812133072408,2
sapisp,0,0,0,NA,NA,NA,2
nectci,183,275,240,1985-02-24,1990-04-25,5.1671307596513065,2
ficuma,2,4,4,1985-03-14,1990-05-19,5.183561643835616,2
maytsc,41,46,50,1985-06-02,1990-09-21,5.306106015485407,2
phoeci,29,56,56,1985-04-28,1990-08-02,5.267025440313115,2
licahy,77,87,96,1985-04-29,1990-08-30,5.338694693749018,2
tachve,2145,2722,2792,1985-04-16,1990-07-17,5.25409962774336,2
protco,422,587,577,1985-04-28,1990-08-04,5.2721184409626725,2
celtsc,53,71,61,1985-05-11,1990-08-26,5.296438229647365,2
nects1,4,8,4,1985-06-21,1990-10-16,5.322945205479452,2
ormocr,29,37,46,1985-06-15,1990-10-02,5.299417285063501,2
apeihy,0,0,0,NA,NA,NA,2
ficupo,0,1,1,1985-02-11,1990-06-13,5.336986301369863,2
turpoc,0,25,1,1985-04-12,1990-08-14,5.3423561643835615,2
