sp,Ns,N1,N2,int_start,int_end,interval_length,int
ingape,59,91,73,1995-08-31,2000-08-24,4.986046904868448,4
poular,193,336,206,1995-07-05,2000-06-20,4.963641315017828,4
casear,17,31,29,1995-05-03,2000-04-13,4.9521629816996064,4
hirttr,2973,3573,3213,1995-05-15,2000-05-10,4.993429214003749,4
ocotwh,128,257,158,1995-07-09,2000-07-03,4.988870529289481,4
guatdu,464,703,566,1995-05-10,2000-05-06,4.995912960966042,4
anacex,0,1,2,1995-04-26,2000-09-12,5.387671232876713,4
tri2tu,7895,9528,8904,1995-06-18,2000-06-11,4.98712110558664,4
guarsp,749,995,819,1995-05-20,2000-05-16,4.994106232905708,4
guargu,1034,1291,1202,1995-06-11,2000-06-07,4.995140662234313,4
zantpr,46,71,52,1995-04-28,2000-05-02,5.0183150536517305,4
termob,26,32,27,1995-07-10,2000-06-30,4.976832825976662,4
guazul,5,8,21,1995-04-30,2000-06-25,5.159670580560989,4
tab1ro,122,157,142,1995-05-21,2000-05-19,5.001821240680271,4
sloate,324,373,333,1995-05-06,2000-05-05,5.001732034285564,4
alchco,5,21,51,1995-04-14,2000-05-21,5.107125589962011,4
loncla,427,580,492,1995-04-21,2000-04-21,5.005624003901825,4
luehse,36,76,92,1995-05-04,2000-05-15,5.035665026174726,4
tripcu,39,76,56,1995-06-24,2000-06-13,4.973004428880419,4
cecrob,1,17,43,1995-04-08,2000-06-04,5.16110788373967,4
licapl,216,269,245,1995-07-15,2000-07-10,4.993771067320854,4
eugeco,431,576,471,1995-06-04,2000-05-31,4.994224677408409,4
heisco,427,503,461,1995-05-10,2000-05-09,5.001338936930816,4
eugene,372,430,414,1995-05-23,2000-05-18,4.992106843466866,4
pri2co,705,811,744,1995-03-03,2000-03-06,5.013918472418301,4
sponra,52,118,169,1995-05-02,2000-07-01,5.169586458263208,4
poutre,936,1282,1058,1995-05-21,2000-05-17,4.994037993904455,4
guapst,26,40,29,1995-05-15,2000-04-28,4.95733821445442,4
cordbi,211,489,307,1995-04-02,2000-04-06,5.015657133753059,4
zantbe,10,36,78,1995-06-21,2000-04-01,4.784591968153611,4
annosp,21,120,85,1995-06-07,2000-07-11,5.099719312382486,4
tab2ar,805,1002,974,1995-04-29,2000-04-28,5.000748731784553,4
jac1co,5,15,15,1995-04-13,2000-04-13,5.007488584474886,4
zantp1,25,76,41,1995-04-10,2000-04-08,4.999737985123182,4
chr2ar,454,550,512,1995-05-15,2000-05-10,4.9936037320983795,4
eugeoe,1226,1684,1424,1995-05-16,2000-05-14,5.001156563398346,4
huracr,2,4,3,1995-07-21,2000-07-19,4.998630136986302,4
sapiau,3,10,15,1995-05-15,2000-06-14,5.086210045662105,4
apeime,6,15,13,1995-04-03,2000-04-29,5.078665261678961,4
ficuyo,0,0,1,NA,2000-06-21,NA,4
ingago,201,274,235,1995-05-12,2000-05-14,5.009376849549089,4
ceibpe,1,2,9,1995-06-16,2000-04-29,4.874733637747337,4
cavapl,1,2,2,1995-09-16,2000-08-16,4.920547945205479,4
chr2ca,78,98,105,1995-06-09,2000-06-10,5.0083440499487395,4
lindla,4,7,6,1995-07-06,2000-07-10,5.0166340508806275,4
virose,673,900,691,1995-05-09,2000-05-04,4.98978542557386,4
pla1pi,57,95,82,1995-04-27,2000-04-13,4.965841349112843,4
lacmpa,20,28,24,1995-04-23,2000-04-13,4.97793542074364,4
drypst,1305,1520,1448,1995-06-25,2000-06-23,4.998410198090397,4
myrofr,4,6,5,1995-07-26,2000-06-24,4.917990867579909,4
ingaco,27,40,36,1995-06-12,2000-06-04,4.9845814307458145,4
posola,40,50,41,1995-05-22,2000-05-17,4.992030738389576,4
casesy,57,92,70,1995-04-10,2000-04-09,5.002412150089339,4
pla2el,37,67,50,1995-05-27,2000-05-11,4.962664485790222,4
cordal,17,32,28,1995-05-28,2000-05-07,4.948960371819964,4
dio2ar,45,54,57,1995-04-24,2000-04-27,5.01536222596064,4
tratas,1,3,8,1995-04-29,2000-03-22,4.900228310502283,4
colugl,0,0,2,NA,2000-01-07,NA,4
apeiti,1,2,6,1995-05-12,2000-05-11,5.004566210045662,4
gar2in,3401,3752,3808,1995-05-31,2000-05-25,4.991071815150101,4
poutst,32,32,34,1995-04-16,2000-04-15,5.003379331184528,4
tab1gu,28,35,28,1995-03-30,2000-04-03,5.01704500978473,4
ingafa,43,65,46,1995-04-23,2000-04-30,5.023780638658542,4
sch1zo,0,0,0,NA,NA,NA,4
sterap,14,24,19,1995-06-06,2000-05-22,4.963794760874792,4
cassel,696,788,784,1995-04-23,2000-04-22,5.003509378161945,4
calolo,680,835,974,1995-05-04,2000-04-25,4.980797023151526,4
hyeral,18,35,26,1995-04-20,2000-05-09,5.056862863164235,4
zuelgu,18,28,23,1995-07-07,2000-06-25,4.970058708414873,4
cecrin,10,74,330,1995-04-19,2000-06-11,5.148931147835256,4
hassfl,161,263,183,1995-05-12,2000-05-09,4.997056142211414,4
sponmo,21,48,40,1995-03-24,2000-04-05,5.037625570776256,4
ingama,167,372,242,1995-05-19,2000-05-22,5.01415549460783,4
allops,41,65,57,1995-05-26,2000-05-20,4.990704157654406,4
virosp,5,12,7,1995-04-21,2000-04-11,4.9795825179386854,4
sympgl,88,120,112,1995-06-25,2000-06-21,4.994432485322898,4
mar1la,9,11,13,1995-07-29,2000-07-27,4.999731775074237,4
ficutr,0,1,1,1995-07-26,2000-01-27,4.50958904109589,4
aspicr,328,366,368,1995-06-20,2000-06-09,4.973640836498434,4
dendar,6,11,9,1995-04-16,2000-04-06,4.978137539781373,4
andiin,169,197,184,1995-06-16,2000-06-10,4.989304350849402,4
diptpa,8,13,8,1995-05-15,2000-04-29,4.960168598524765,4
ast2gr,22,28,31,1995-04-02,2000-04-07,5.020469036045699,4
hirtam,17,26,20,1995-07-14,2000-08-04,5.062813487881985,4
ficuob,0,1,0,1995-08-21,NA,NA,4
tropra,191,237,217,1995-06-13,2000-06-06,4.987096028385452,4
protpa,2200,2571,2464,1995-04-22,2000-04-20,5.002471058376893,4
ficuto,0,2,0,1995-09-17,NA,NA,4
unonpi,281,386,329,1995-05-22,2000-05-20,4.999435330889329,4
maquco,843,954,920,1995-05-22,2000-05-15,4.986675375803953,4
gar2ma,299,330,336,1995-04-25,2000-04-16,4.979747968926055,4
macrgl,44,63,49,1995-07-27,2000-07-31,5.014102444630821,4
cespma,1,2,1,1995-09-26,2000-09-26,5.005479452054795,4
cordla,515,757,647,1995-05-18,2000-05-10,4.9837057513247505,4
cupala,19,27,25,1995-05-30,2000-06-08,5.031204464738711,4
zantse,0,0,0,NA,NA,NA,4
xyl1ma,629,756,801,1995-06-06,2000-05-29,4.982121296520246,4
geniam,33,37,36,1995-06-17,2000-06-18,5.007523962318481,4
ingasp,3,3,4,1995-06-23,2000-06-04,4.955479452054795,4
hampap,1,8,15,1995-03-26,2000-06-27,5.261575342465753,4
sapisp,0,0,1,NA,2000-09-06,NA,4
nectci,99,175,128,1995-02-20,2000-02-23,5.010334393346381,4
ficuma,1,1,1,1995-05-08,2000-05-03,4.991780821917808,4
maytsc,39,48,40,1995-06-21,2000-06-27,5.023436073059365,4
phoeci,18,43,35,1995-05-04,2000-05-14,5.030612114868246,4
licahy,92,103,97,1995-05-26,2000-05-22,4.995274102856958,4
tachve,1849,2629,2172,1995-04-29,2000-04-30,5.006979928525922,4
protco,409,526,483,1995-05-15,2000-05-10,4.992349638206872,4
celtsc,37,48,37,1995-06-06,2000-05-30,4.984663087745277,4
nects1,1,1,1,1995-07-07,2000-06-28,4.980821917808219,4
ormocr,55,58,67,1995-07-20,2000-07-17,4.998699934432704,4
apeihy,0,0,0,NA,NA,NA,4
ficupo,0,0,0,NA,NA,NA,4
turpoc,1,4,6,1995-07-16,2000-06-17,4.925342465753425,4
tremmi,0,6,5,1995-06-07,2000-05-04,4.913972602739726,4
ingasa,98,142,110,1995-04-26,2000-04-23,4.996270675109186,4
ocotce,122,236,167,1995-05-12,2000-05-12,5.0069454543432315,4
guargr,31,39,39,1995-04-28,2000-05-04,5.022760800842992,4
ingapu,6,8,10,1995-05-02,2000-04-14,4.957123287671233,4
nectgl,48,93,83,1995-06-18,2000-06-27,5.030949427404711,4
micoar,188,611,435,1995-05-23,2000-05-24,5.00818191446841,4
ficuc2,1,1,4,1995-06-02,2000-06-04,5.010958904109589,4
ficuin,2,5,13,1995-07-08,2000-06-20,4.954394099051637,4
ormoma,83,107,98,1995-04-29,2000-04-21,4.984122600518889,4
termam,8,14,8,1995-04-23,2000-05-03,5.030919765166337,4
tri2pa,301,382,324,1995-05-12,2000-05-05,4.985269965990274,4
ficubu,1,1,1,1995-02-23,2000-02-24,5.005479452054795,4
tet4jo,0,0,0,NA,NA,NA,4
pse1se,2,4,5,1995-03-08,2000-05-05,5.162328767123288,4
tocopi,2,2,2,1995-04-24,2000-04-19,4.991780821917808,4
sch2mo,0,0,0,NA,NA,NA,4
pochse,4,8,4,1995-06-13,2000-06-04,4.9811643835616435,4
ocotpu,64,126,92,1995-05-11,2000-05-22,5.0341619633757775,4
ingami,0,4,1,1995-05-01,2000-01-24,4.736301369863014,4
ingaru,3,8,4,1995-06-09,2000-05-04,4.905821917808219,4
cuparu,64,99,84,1995-05-09,2000-05-14,5.018080017395087,4
poutfo,1,1,1,1995-03-09,2000-02-18,4.950684931506849,4
vochfe,2,8,7,1995-03-29,2000-04-20,5.063747553816046,4
ast1st,0,0,1,NA,2000-01-26,NA,4
coccco,67,103,74,1995-05-10,2000-05-14,5.018127770009666,4
cupaci,2,6,3,1995-05-13,2000-04-21,4.943835616438356,4
tri4ga,0,0,3,NA,2000-05-27,NA,4
laetpr,3,6,4,1995-03-24,2000-06-10,5.21986301369863,4
lafopu,0,0,0,NA,NA,NA,4
entesc,5,6,5,1995-04-01,2000-04-18,5.052237442922374,4
cedrod,0,3,3,1995-06-26,2000-05-22,4.909589041095891,4
ingaqu,353,469,384,1995-05-27,2000-05-19,4.981656860633233,4
pourbi,19,26,36,1995-02-24,2000-02-10,4.964026460601802,4
pit1ma,0,0,0,NA,NA,NA,4
ingath,29,62,61,1995-02-28,2000-02-14,4.962446484066557,4
pochqu,0,0,0,NA,NA,NA,4
alchla,0,1,0,1995-01-03,NA,NA,4
sipagu,2,2,5,1995-01-08,2000-01-24,5.047397260273969,4
ochrpy,0,0,2,NA,2000-01-06,NA,4
oenoma,5,22,32,1995-04-25,2000-05-09,5.044520547945205,4
ery2ma,166,230,210,1995-05-20,2000-05-19,5.004524802178171,4
nectpu,45,68,53,1995-04-13,2000-03-30,4.967182582518659,4
socrex,25,38,42,1995-03-15,2000-03-04,4.974109932365158,4
perexa,153,183,163,1995-03-01,2000-02-21,4.9814188362249325,4
chimpa,0,1,0,1995-10-06,NA,NA,4
schipa,4,8,6,1995-03-24,2000-03-04,4.949315068493151,4
elaeol,0,0,0,NA,NA,NA,4
maclti,0,0,0,NA,NA,NA,4
aegipa,7,18,10,2000-04-22,2005-06-03,5.118203957382043,5
beilpe,1373,1772,1577,2000-04-28,2005-05-15,5.048163062427414,5
tet2pa,2843,3415,3642,2000-05-13,2005-05-26,5.037949180114608,5
alsebl,4890,6002,5831,2000-05-09,2005-05-26,5.049441161299708,5
ocotob,37,87,108,2000-05-22,2005-06-17,5.075372207351422,5
solaha,9,26,45,2000-05-30,2005-05-22,4.980681419037585,5
quaras,922,1084,1032,2000-05-30,2005-06-18,5.053840271597999,5
gustsu,20,39,54,2000-05-10,2005-05-29,5.0549389220622105,5
pterro,959,1204,1143,2000-04-25,2005-05-10,5.043891526939193,5
virosu,14,22,15,2000-05-02,2005-05-05,5.012021585720217,5
simaam,453,763,1037,2000-04-11,2005-05-03,5.060700788019523,5
protte,1662,2068,2006,2000-07-01,2005-07-16,5.045627692582676,5
brosal,383,434,415,2000-05-13,2005-05-29,5.0466945238184016,5
ingape,53,73,78,2000-08-24,2005-09-08,5.044290793962403,5
poular,110,206,131,2000-06-20,2005-06-27,5.023146552905663,5
casear,14,29,31,2000-04-13,2005-04-14,5.00541545400521,5
hirttr,2682,3213,2939,2000-05-10,2005-05-26,5.044847343444965,5
ocotwh,85,158,141,2000-07-03,2005-07-18,5.046070144758573,5
guatdu,357,566,471,2000-05-06,2005-05-25,5.054648853195895,5
anacex,2,2,4,2000-09-12,2005-09-01,4.973287671232876,5
tri2tu,7447,8904,8439,2000-06-11,2005-06-30,5.053333815868182,5
guarsp,567,819,632,2000-05-16,2005-06-02,5.048484922106384,5
guargu,934,1202,1149,2000-06-07,2005-06-23,5.047175176899647,5
zantpr,35,52,42,2000-05-02,2005-06-05,5.094638466556273,5
termob,22,27,23,2000-06-30,2005-08-01,5.090640372355681,5
guazul,11,21,19,2000-06-25,2005-07-08,5.037463521818248,5
tab1ro,99,142,132,2000-05-19,2005-05-30,5.030377282374197,5
sloate,290,333,303,2000-05-05,2005-05-14,5.029294776941592,5
alchco,22,51,60,2000-05-21,2005-06-06,5.045170561375238,5
loncla,360,492,423,2000-04-21,2005-05-06,5.04204854668774,5
luehse,25,92,64,2000-05-15,2005-06-22,5.104982504466943,5
tripcu,31,56,56,2000-06-13,2005-07-10,5.076614481409002,5
cecrob,6,43,86,2000-06-04,2005-06-14,5.029021981522777,5
licapl,205,245,234,2000-07-10,2005-07-25,5.041736689055672,5
eugeco,378,471,432,2000-05-31,2005-06-18,5.051028366731621,5
heisco,387,461,410,2000-05-09,2005-05-21,5.035577765328064,5
eugene,349,414,387,2000-05-18,2005-06-01,5.040401032360536,5
pri2co,647,744,699,2000-03-06,2005-03-09,5.011924822216199,5
sponra,96,169,172,2000-07-01,2005-07-14,5.039118948295069,5
poutre,746,1058,863,2000-05-17,2005-06-03,5.050674666393572,5
guapst,23,29,34,2000-04-28,2005-06-10,5.120667426157998,5
cordbi,148,307,230,2000-04-06,2005-04-29,5.065935400511784,5
zantbe,11,78,39,2000-04-01,2005-05-11,5.110642781875657,5
annosp,31,85,93,2000-07-11,2005-07-27,5.046338280782928,5
tab2ar,789,974,1010,2000-04-28,2005-05-12,5.042061381069893,5
jac1co,6,15,46,2000-04-13,2005-06-06,5.151236847329758,5
zantp1,25,41,91,2000-04-08,2005-06-10,5.174622837903826,5
chr2ar,428,512,513,2000-05-10,2005-05-26,5.045737859739243,5
eugeoe,1080,1424,1345,2000-05-14,2005-06-09,5.073309949172996,5
huracr,2,3,5,2000-07-19,2005-06-20,4.923835616438356,5
sapiau,3,15,26,2000-06-14,2005-06-29,5.045423252546541,5
apeime,6,13,58,2000-04-29,2005-04-23,4.9854947131281575,5
ficuyo,1,1,2,2000-06-21,2005-04-20,4.832876712328767,5
ingago,171,235,209,2000-05-14,2005-05-22,5.024808535740135,5
ceibpe,1,9,19,2000-04-29,2005-06-05,5.1038532404069485,5
cavapl,1,2,6,2000-08-16,2005-08-19,5.012328767123288,5
chr2ca,83,105,119,2000-06-10,2005-06-24,5.039229500019187,5
lindla,1,6,1,2000-07-10,2005-09-06,5.16027397260274,5
virose,521,691,542,2000-05-04,2005-05-20,5.047986039264078,5
pla1pi,49,82,96,2000-04-13,2005-04-29,5.047346586479565,5
lacmpa,17,24,22,2000-04-13,2005-05-25,5.1194582814445795,5
drypst,1241,1448,1426,2000-06-23,2005-07-07,5.0418489605364485,5
myrofr,3,5,3,2000-06-24,2005-07-26,5.089315068493151,5
ingaco,24,36,38,2000-06-04,2005-06-20,5.0458583673796396,5
posola,37,41,41,2000-05-17,2005-05-22,5.014700968927501,5
casesy,45,70,62,2000-04-09,2005-05-05,5.075033141847109,5
pla2el,36,50,55,2000-05-11,2005-05-21,5.027726027397264,5
cordal,12,28,74,2000-05-07,2005-05-17,5.028235574125979,5
dio2ar,47,57,61,2000-04-27,2005-05-04,5.019899062725306,5
tratas,2,8,11,2000-03-22,2005-06-10,5.223225404732251,5
colugl,0,2,0,2000-01-07,NA,NA,5
apeiti,1,6,11,2000-05-11,2005-06-07,5.076131174761312,5
gar2in,3417,3808,3923,2000-05-25,2005-06-06,5.035239507565068,5
poutst,24,34,28,2000-04-15,2005-04-09,4.986554621848739,5
tab1gu,24,28,30,2000-04-03,2005-04-15,5.034696673189828,5
ingafa,33,46,35,2000-04-30,2005-05-03,5.011631072917553,5
sch1zo,0,0,0,NA,NA,NA,5
sterap,13,19,15,2000-05-22,2005-06-11,5.057072819033884,5
cassel,695,784,819,2000-04-22,2005-05-09,5.0495677512311605,5
calolo,803,974,1279,2000-04-25,2005-04-26,5.004161683039718,5
hyeral,16,26,33,2000-05-09,2005-06-15,5.104700322508537,5
zuelgu,16,23,23,2000-06-25,2005-06-12,4.967361524717093,5
cecrin,40,330,586,2000-06-11,2005-07-09,5.08065187854987,5
hassfl,118,183,161,2000-05-09,2005-05-29,5.057596549003413,5
sponmo,19,40,50,2000-04-05,2005-05-02,5.077684931506849,5
ingama,112,242,261,2000-05-22,2005-06-27,5.100163137797873,5
allops,33,57,45,2000-05-20,2005-06-15,5.072613954978771,5
virosp,5,7,6,2000-04-11,2005-04-05,4.984801043705151,5
sympgl,87,112,108,2000-06-21,2005-07-03,5.037317895194609,5
mar1la,10,13,12,2000-07-27,2005-07-31,5.0135932560590115,5
ficutr,0,1,0,2000-01-27,NA,NA,5
aspicr,319,368,356,2000-06-09,2005-06-26,5.049914759989561,5
dendar,7,9,8,2000-04-06,2005-04-10,5.015791476407915,5
andiin,161,184,175,2000-06-10,2005-06-28,5.050284948523779,5
diptpa,8,8,15,2000-04-29,2005-06-01,5.095159817351599,5
ast2gr,25,31,51,2000-04-07,2005-04-19,5.034611352274006,5
hirtam,15,20,16,2000-08-04,2005-08-04,5.002123287671233,5
ficuob,0,0,0,NA,NA,NA,5
tropra,170,217,193,2000-06-06,2005-06-28,5.063117188197607,5
protpa,2108,2464,2417,2000-04-20,2005-05-01,5.032985385203267,5
ficuto,0,0,3,NA,2005-07-22,NA,5
unonpi,229,329,309,2000-05-20,2005-06-09,5.058759349667769,5
maquco,786,920,837,2000-05-15,2005-06-01,5.049319526543008,5
gar2ma,310,336,352,2000-04-16,2005-05-06,5.059288456976815,5
macrgl,42,49,50,2000-07-31,2005-08-07,5.023067374895164,5
cespma,1,1,1,2000-09-26,2005-09-22,4.991780821917808,5
cordla,452,647,615,2000-05-10,2005-05-21,5.0328249618334935,5
cupala,16,25,26,2000-06-08,2005-07-02,5.067991570073765,5
zantse,0,0,0,NA,NA,NA,5
xyl1ma,672,801,934,2000-05-29,2005-06-12,5.0413185118730715,5
geniam,30,36,32,2000-06-18,2005-07-02,5.041904490106545,5
ingasp,2,4,8,2000-06-04,2005-06-21,5.0479452054794525,5
hampap,5,15,119,2000-06-27,2005-06-04,4.940292390928973,5
sapisp,0,1,0,2000-09-06,NA,NA,5
nectci,84,128,120,2000-02-23,2005-03-05,5.03214897260274,5
ficuma,1,1,2,2000-05-03,2005-05-30,5.076712328767123,5
maytsc,33,40,38,2000-06-27,2005-07-13,5.046297764960342,5
phoeci,14,35,38,2000-05-14,2005-06-16,5.093498815531978,5
licahy,82,97,97,2000-05-22,2005-06-03,5.034401920632681,5
tachve,1536,2172,1907,2000-04-30,2005-05-15,5.046014240899575,5
protco,349,483,420,2000-05-10,2005-05-31,5.058197339686319,5
celtsc,31,37,36,2000-05-30,2005-06-17,5.05266567937801,5
nects1,0,1,0,2000-06-28,NA,NA,5
ormocr,66,67,86,2000-07-17,2005-08-01,5.043934992130772,5
apeihy,0,0,0,NA,NA,NA,5
ficupo,0,0,0,NA,NA,NA,5
turpoc,2,6,19,2000-06-17,2005-07-21,5.095818312905552,5
tremmi,0,5,14,2000-05-04,2005-08-07,5.261369863013699,5
ingasa,63,110,80,2000-04-23,2005-05-19,5.073072851805726,5
ocotce,103,167,182,2000-05-12,2005-05-27,5.042718777408305,5
guargr,26,39,31,2000-05-04,2005-05-18,5.040753707921184,5
ingapu,4,10,20,2000-04-14,2005-04-25,5.031780821917808,5
nectgl,38,83,95,2000-06-27,2005-07-05,5.024700966808837,5
micoar,121,435,387,2000-05-24,2005-06-08,5.044483747294879,5
ficuc2,2,4,2,2000-06-04,2005-06-14,5.031506849315068,5
ficuin,9,13,13,2000-06-20,2005-06-27,5.021917808219178,5
ormoma,84,98,100,2000-04-21,2005-05-04,5.037151244059269,5
termam,4,8,11,2000-05-03,2005-05-23,5.058032378580321,5
tri2pa,235,324,281,2000-05-05,2005-05-23,5.053584056602471,5
ficubu,0,1,3,2000-02-24,2005-04-23,5.1662100456621,5
tet4jo,0,0,0,NA,NA,NA,5
pse1se,3,5,23,2000-05-05,2005-07-04,5.168314472900534,5
tocopi,2,2,2,2000-04-19,2005-04-22,5.010958904109589,5
sch2mo,0,0,0,NA,NA,NA,5
pochse,4,4,5,2000-06-04,2005-07-14,5.111643835616438,5
ocotpu,47,92,93,2000-05-22,2005-06-09,5.052377887503443,5
ingami,0,1,0,2000-01-24,NA,NA,5
ingaru,2,4,4,2000-05-04,2005-08-14,5.280821917808219,5
cuparu,57,84,78,2000-05-14,2005-05-16,5.0086030407948225,5
poutfo,1,1,1,2000-02-18,2005-02-23,5.019178082191781,5
vochfe,4,7,9,2000-04-20,2005-06-24,5.181952598390956,5
ast1st,1,1,1,2000-01-26,2005-01-28,5.010958904109589,5
coccco,50,74,77,2000-05-14,2005-05-31,5.048303418166433,5
cupaci,3,3,7,2000-04-21,2005-05-20,5.084148727984347,5
tri4ga,0,3,0,2000-05-27,NA,NA,5
laetpr,2,4,2,2000-06-10,2005-07-17,5.103424657534247,5
lafopu,0,0,0,NA,NA,NA,5
entesc,3,5,4,2000-04-18,2005-04-02,4.95917808219178,5
cedrod,0,3,6,2000-05-22,2005-06-24,5.094063926940639,5
ingaqu,304,384,337,2000-05-19,2005-06-03,5.044355221840571,5
pourbi,23,36,76,2000-02-10,2005-02-11,5.009388768725471,5
pit1ma,0,0,2,NA,2005-03-12,NA,5
ingath,35,61,102,2000-02-14,2005-02-27,5.042795559724002,5
pochqu,0,0,0,NA,NA,NA,5
alchla,0,0,0,NA,NA,NA,5
sipagu,4,5,4,2000-01-24,2005-01-27,5.012876712328771,5
ochrpy,0,2,1,2000-01-06,2005-04-01,5.238356164383561,5
oenoma,11,32,28,2000-05-09,2005-05-07,4.997358121330721,5
ery2ma,147,210,208,2000-05-19,2005-06-05,5.04792789402378,5
nectpu,35,53,48,2000-03-30,2005-04-12,5.036900146463343,5
socrex,13,42,28,2000-03-04,2005-04-05,5.092498369210697,5
perexa,140,163,149,2000-02-21,2005-03-09,5.0505986911087755,5
chimpa,0,0,0,NA,NA,NA,5
schipa,5,6,8,2000-03-04,2005-03-20,5.048972602739726,5
elaeol,0,0,0,NA,NA,NA,5
maclti,0,0,0,NA,NA,NA,5
aegipa,3,10,12,2005-06-03,2010-04-09,4.852191780821918,6
beilpe,1250,1577,1461,2005-05-15,2010-05-07,4.981216786092539,6
tet2pa,3050,3642,3783,2005-05-26,2010-05-12,4.9650198716491625,6
alsebl,4820,5831,5989,2005-05-26,2010-05-15,4.972147029155927,6
ocotob,50,108,172,2005-06-17,2010-06-09,4.9789199202388135,6
solaha,8,45,42,2005-05-22,2010-05-08,4.965949119373778,6
quaras,885,1032,1060,2005-06-18,2010-06-10,4.97975722348783,6
gustsu,18,54,42,2005-05-29,2010-05-23,4.986468072769441,6
pterro,845,1143,978,2005-05-10,2010-05-02,4.978359577479065,6
virosu,10,15,18,2005-05-05,2010-04-28,4.981156773211568,6
simaam,610,1037,1139,2005-05-03,2010-04-29,4.9941533531271025,6
protte,1644,2006,2092,2005-07-16,2010-07-03,4.965620820035507,6
brosal,356,415,389,2005-05-29,2010-05-21,4.980739947499962,6
ingape,55,78,98,2005-09-08,2010-08-23,4.958778664258117,6
poular,69,131,117,2005-06-27,2010-05-19,4.896573063382645,6
casear,16,31,50,2005-04-14,2010-04-24,5.02877065841803,6
hirttr,2466,2939,2729,2005-05-26,2010-05-14,4.9707492150585475,6
ocotwh,87,141,183,2005-07-18,2010-07-16,4.995938987661518,6
guatdu,323,471,499,2005-05-25,2010-05-23,4.997431957828355,6
anacex,1,4,5,2005-09-01,2010-06-18,4.795205479452055,6
tri2tu,7141,8439,8087,2005-06-30,2010-06-16,4.9646062076924675,6
guarsp,469,632,552,2005-06-02,2010-05-22,4.974009607386356,6
guargu,924,1149,1264,2005-06-23,2010-06-08,4.962389538373176,6
zantpr,30,42,42,2005-06-05,2010-05-30,4.985127201565558,6
termob,19,23,27,2005-08-01,2010-07-11,4.944570180663091,6
guazul,8,19,23,2005-07-08,2010-06-05,4.911457321087111,6
tab1ro,95,132,136,2005-05-30,2010-05-27,4.99532268698264,6
sloate,276,303,291,2005-05-14,2010-05-04,4.973427985363143,6
alchco,22,60,154,2005-06-06,2010-06-08,5.009573029710013,6
loncla,307,423,425,2005-05-06,2010-04-29,4.983689810131768,6
luehse,21,64,88,2005-06-22,2010-06-10,4.971104452054795,6
tripcu,30,56,52,2005-07-10,2010-06-21,4.950963420141497,6
cecrob,3,86,87,2005-06-14,2010-06-16,5.007676871981341,6
licapl,192,234,218,2005-07-25,2010-07-04,4.945737720590053,6
eugeco,356,432,427,2005-06-18,2010-06-11,4.983985559939968,6
heisco,329,410,348,2005-05-21,2010-05-04,4.957060420675062,6
eugene,326,387,404,2005-06-01,2010-05-21,4.973989179739888,6
pri2co,609,699,654,2005-03-09,2010-03-04,4.988606697335801,6
sponra,78,172,174,2005-07-14,2010-06-19,4.931806564064255,6
poutre,635,863,747,2005-06-03,2010-05-19,4.960951727140099,6
guapst,22,34,28,2005-06-10,2010-06-20,5.029734085414984,6
cordbi,110,230,250,2005-04-29,2010-04-22,4.983600238237048,6
zantbe,8,39,72,2005-05-11,2010-05-20,5.026911368692189,6
annosp,25,93,120,2005-07-27,2010-06-13,4.881545146560613,6
tab2ar,791,1010,1090,2005-05-12,2010-05-04,4.981981716080366,6
jac1co,14,46,82,2005-06-06,2010-06-05,4.998107177617343,6
zantp1,45,91,144,2005-06-10,2010-05-20,4.945060590094839,6
chr2ar,431,513,541,2005-05-26,2010-05-11,4.962868125419518,6
eugeoe,1012,1345,1396,2005-06-09,2010-06-03,4.985541028112975,6
huracr,1,5,3,2005-06-20,2010-05-30,4.94648401826484,6
sapiau,7,26,21,2005-06-29,2010-07-08,5.025600883135135,6
apeime,26,58,76,2005-04-23,2010-04-28,5.016044303010716,6
ficuyo,0,2,0,2005-04-20,NA,NA,6
ingago,154,209,186,2005-05-22,2010-05-14,4.981761729676702,6
ceibpe,3,19,16,2005-06-05,2010-05-06,4.920043258832016,6
cavapl,2,6,15,2005-08-19,2010-07-06,4.8821004566210044,6
chr2ca,99,119,142,2005-06-24,2010-06-04,4.9472931059361835,6
lindla,0,1,4,2005-09-06,2010-04-26,4.63972602739726,6
virose,414,542,456,2005-05-20,2010-05-11,4.9787004569757265,6
pla1pi,58,96,117,2005-04-29,2010-04-19,4.9745258166491,6
lacmpa,16,22,22,2005-05-25,2010-05-16,4.978206724782074,6
drypst,1220,1426,1372,2005-07-07,2010-06-22,4.96226402100241,6
myrofr,3,3,11,2005-07-26,2010-05-14,4.804981320049816,6
ingaco,22,38,40,2005-06-20,2010-06-17,4.994080749819752,6
posola,37,41,41,2005-05-22,2010-05-09,4.968459739391912,6
casesy,44,62,70,2005-05-05,2010-05-05,5.0011312417145355,6
pla2el,40,55,54,2005-05-21,2010-04-24,4.930999492643328,6
cordal,32,74,103,2005-05-17,2010-05-11,4.986864268178272,6
dio2ar,50,61,72,2005-05-04,2010-05-09,5.018302891933029,6
tratas,4,11,15,2005-06-10,2010-06-12,5.008601079286014,6
colugl,0,0,2,NA,2010-03-17,NA,6
apeiti,4,11,18,2005-06-07,2010-06-07,5.00271205202712,6
gar2in,3505,3923,4076,2005-06-06,2010-05-24,4.9663160623688265,6
