"","Latin","sp","pft"
"129","Licania hypoleuca","licahy","ST_DT"
"130","Protium panamense","protpa","ST_DT"
"131","Lindackeria laurina","lindla","ST_DI"
"132","Unonopsis pittieri","unonpi","LD_DT"
"133","Luehea seemannii","luehse","LD_DI"
"134","Maclura tinctoria","maclti","ST_DI"
"135","Ocotea cernua","ocotce","ST_DT"
"136","Maquira guianensis","maquco","ST_DT"
"137","Randia armata","randar","ST_DT"
"138","Maytenus schippii","maytsc","ST_DT"
"139","Miconia argentea","micoar","LD_DI"
"140","Miconia hondurensis","micoho","ST_DI"
"141","Schefflera morototoni","sch2mo","LD_DI"
"142","Schizolobium parahyba","schipa","LD_DT"
"143","Nectandra cissiflora","nectci","LD_DT"
"144","Nectandra lineata","nectgl","ST_DT"
"145","Nectandra purpurea","nectpu","LD_DT"
"146","Nectandra fuzzy","nects1","ST_DI"
"147","Ochroma pyramidale","ochrpy","LD_DI"
"148","Pachira sessilis","pochse","LD_DI"
"149","Ocotea oblonga","ocotob","LD_DT"
"150","Spondias radlkoferi","sponra","LD_DT"
"151","Ocotea whitei","ocotwh","LD_DT"
"152","Oenocarpus mapora","oenoma","ST_DI"
"153","Ormosia coccinea","ormocr","ST_DT"
"154","Ormosia macrocalyx","ormoma","ST_DI"
"155","Prioria copaifera","pri2co","ST_DT"
"156","Cinnamomum triplinerve","phoeci","LD_DT"
"157","Abarema macradenia","pit1ma","LD_DT"
"158","Platymiscium pinnatum","pla1pi","ST_DT"
"159","Platypodium elegans","pla2el","ST_DI"
"160","Virola sebifera","virose","LD_DT"
"161","Pterocarpus officinalis","pterof","LD_DT"
"162","Solanum hayesii","solaha","LD_DT"
"163","Trattinnickia aspera","tratas","LD_DT"
"164","Zanthoxylum setulosum","zantse","LD_DI"
"165","Sapium glandulosum","sapiau","LD_DT"
"166","Pouteria reticulata","poutre","LD_DT"
"167","Pouteria stipitata","poutst","ST_DT"
"168","Siparuna pauciflora","sipapa","ST_DI"
"169","Protium costaricense","protco","LD_DT"
"170","Trophis racemosa","tropra","ST_DT"
"171","Protium tenuifolium","protte","ST_DT"
"172","Quararibea asterolepis","quaras","ST_DT"
"173","Sloanea terniflora","sloate","ST_DI"
"174","Socratea exorrhiza","socrex","LD_DT"
"175","Tetrathylacium johansenii","tet4jo","ST_DI"
"176","Attalea butyracea","sch1zo","LD_DI"
"177","Tabebuia guayacan","tab1gu","ST_DI"
"178","Sterculia apetala","sterap","LD_DI"
"179","Sapium broadleaf","sapisp","LD_DI"
"180","Siparuna guianensis","sipagu","ST_DI"
"181","Terminalia amazonia","termam","ST_DI"
"182","Zuelania guidonia","zuelgu","ST_DI"
"183","Simarouba amara","simaam","LD_DT"
"184","Virola multiflora","virosp","LD_DT"
"185","Spondias mombin","sponmo","LD_DI"
"186","Terminalia oblonga","termob","ST_DI"
"187","Trichospermum galeottii","tri4ga","LD_DI"
"188","Zanthoxylum ekmanii","zantbe","ST_DT"
"189","Symphonia globulifera","sympgl","ST_DT"
"190","Zanthoxylum acuminatum","zantpr","LD_DT"
"191","Zanthoxylum panamense","zantp1","LD_DI"
"192","Tabernaemontana arborea","tab2ar","ST_DT"
"193","Tachigali versicolor","tachve","LD_DI"
"194","Turpinia occidentalis","turpoc","LD_DI"
"195","Triplaris cumingiana","tripcu","ST_DI"
"196","Trichilia pallida","tri2pa","LD_DI"
