pft,R,se_R,R_no_mort_adjust_ha_yr,model
LD_DI,10.689455744291415,0.3269453325955753,8.847718057159199,BCI obs.
LD_DT,10.528262576609691,0.8537556786758218,6.310810512831223,BCI obs.
ST_DI,23.032703074764697,1.4549541225670148,20.74568758784716,BCI obs.
ST_DT,26.184396277920108,0.73370207936793,22.78416465649908,BCI obs.
