"","pft","R","simYr","model"
"1","LD_DI",8.16110962133836,10,"BCI obs."
"2","LD_DT",5.56010814007202,10,"BCI obs."
"3","ST_DI",12.6260035285654,10,"BCI obs."
"4","ST_DT",23.2703932510867,10,"BCI obs."
