int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
2,pse1se,6,10,1,5,9,1985-06-27,1990-07-22,5.071598173515982,3.5715424750511515e-6,6.428776455092073e-6,138,Pseudobombax septenatum,LD_DT
2,tocopi,3,2,2,1,0,1985-03-28,1990-07-05,5.273972602739726,4.439964040770197e-7,0,140,Tocoyena pittieri,ST_DT
2,pochse,10,9,9,1,0,1985-06-06,1990-09-08,5.259634703196349,3.9665203692218936e-7,0,142,Pachira sessilis,LD_DT
2,ocotpu,208,176,120,88,56,1985-04-11,1990-07-17,5.2694918095603045,4.1233908428387123e-5,2.6239759908973628e-5,143,Ocotea puberula,LD_DI
2,ingami,7,7,5,2,2,1985-04-16,1990-07-14,5.245401174168297,8.698489834178174e-7,8.698489834178174e-7,144,Inga oerstediana,LD_DT
2,ingaru,17,11,11,6,0,1985-05-21,1990-09-25,5.350655629624205,2.6566340876736133e-6,0,145,Inga ruiziana,ST_DT
2,cuparu,64,87,43,21,44,1985-05-03,1990-07-28,5.236981872933395,9.360103021612588e-6,1.9611644426235897e-5,146,Cupania rufescens,ST_DT
2,vochfe,12,12,7,5,5,1985-04-04,1990-06-03,5.169406392694063,2.3763587950374693e-6,2.3763587950374693e-6,148,Vochysia ferruginea,LD_DI
2,coccco,148,140,111,37,29,1985-05-05,1990-08-04,5.2500137515206005,1.5783361587947316e-5,1.2370742866228977e-5,150,Coccoloba coronata,ST_DT
2,cupaci,3,8,2,1,6,1985-03-08,1990-08-04,5.4103881278538815,4.332160132114864e-7,2.5992960792689182e-6,164,Cupania cinerea,ST_DT
2,laetpr,5,8,2,3,6,1985-02-18,1990-04-29,5.193424657534248,1.6174493685832782e-6,3.2348987371665564e-6,152,Laetia procera,ST_DT
2,entesc,7,7,6,1,1,1985-04-01,1990-05-18,5.129941291585126,4.144310837945333e-7,4.144310837945333e-7,154,Enterolobium schomburgkii,ST_DT
2,ingaqu,576,539,449,127,90,1985-05-16,1990-08-21,5.271022797869667,5.31720950180724e-5,3.768101221753163e-5,156,Inga nobilis,ST_DT
2,pourbi,25,21,16,9,5,1985-02-21,1990-04-27,5.18155772994129,4.12624830014231e-6,2.292360166745728e-6,157,Pourouma bicolor,LD_DI
2,ingath,58,65,34,24,31,1985-02-15,1990-04-21,5.1797412884706215,1.1364768688543981e-5,1.4679492889369308e-5,159,Inga thibaudiana,ST_DI
2,sipagu,7,3,2,5,1,1985-01-24,1990-03-24,5.1629484670580545,3.016298876858425e-6,6.03259775371685e-7,170,Siparuna guianensis,ST_DT
2,ochrpy,2,1,0,2,1,1985-03-09,1990-10-18,5.6136986301369864,4e-6,2e-6,161,Ochroma pyramidale,LD_DT
2,oenoma,21,22,4,17,18,1985-04-18,1990-06-28,5.199377334993773,1.1469035013913567e-5,1.2143684132379071e-5,165,Oenocarpus mapora,ST_DT
2,ery2ma,261,257,191,70,66,1985-05-02,1990-08-12,5.280920087546088,2.99697462850044e-5,2.8257189354432718e-5,171,Erythroxylum macrophyllum,ST_DT
2,nectpu,64,63,39,25,24,1985-03-31,1990-06-28,5.246236953685586,1.1532105671355595e-5,1.1070821444501371e-5,174,Nectandra purpurea,LD_DI
2,socrex,93,38,17,76,21,1985-03-08,1990-05-15,5.187610763541642,5.1956931148109385e-5,1.4356520448819698e-5,163,Socratea exorrhiza,LD_DI
2,perexa,212,206,166,46,40,1985-02-21,1990-05-08,5.210575723889414,1.9443762491806084e-5,1.6907619558092248e-5,173,Perebea xanthochyma,ST_DI
2,chimpa,2,1,1,1,0,1985-05-28,1990-12-06,5.528767123287671,4.713218471822529e-7,0,175,Chimarrhis parviflora,ST_DT
2,schipa,9,8,5,4,3,1985-02-03,1990-05-06,5.254870624048705,1.904879269732313e-6,1.4286594522992348e-6,176,Schizolobium parahyba,LD_DT
3,aegipa,38,24,21,17,3,1990-07-13,1995-04-26,4.7902847873107435,8.850074366995026e-6,1.5617778294697104e-6,168,Aegiphila panamensis,ST_DT
3,beilpe,2208,2040,1759,449,281,1990-07-16,1995-05-02,4.798375535741392,2.0434606948599392e-4,1.2788696108143494e-4,16,Beilschmiedia pendula,ST_DI
3,tet2pa,3374,3363,2893,481,470,1990-07-31,1995-05-15,4.792154280219459,2.131394707211195e-4,0.00020826517929090679,39,Tetragastris panamensis,ST_DI
3,alsebl,6721,6386,5695,1026,691,1990-08-05,1995-05-13,4.773046318506348,4.5850183913944857e-4,3.0879607294869295e-4,25,Alseis blackiana,ST_DT
3,ocotob,138,105,62,76,43,1990-07-23,1995-04-28,4.766682549136392,4.264889000048762e-5,2.4130293026591677e-5,109,Ocotea oblonga,LD_DT
3,solaha,49,18,5,44,13,1990-08-07,1995-06-01,4.820495138694748,3.69622332136118e-5,1.0920659813112578e-5,167,Solanum hayesii,LD_DI
3,quaras,1218,1163,1029,189,134,1990-08-31,1995-06-04,4.759240129452768,8.47978413259771e-5,6.012122083429065e-5,1,Quararibea asterolepis,LD_DT
3,gustsu,71,49,27,44,22,1990-08-23,1995-05-22,4.74662456145877,2.6168515602568965e-5,1.3084257801284483e-5,2,Gustavia superba,ST_DT
3,pterro,1464,1350,1142,322,208,1990-07-16,1995-04-27,4.783369754888507,1.481652157248196e-4,9.570920767317538e-5,3,Pterocarpus rohrii,LD_DI
3,virosu,40,28,28,12,0,1990-07-25,1995-04-26,4.7584148727984354,5.777305259288026e-6,0,4,Virola surinamensis,LD_DI
3,simaam,784,732,485,299,247,1990-06-30,1995-04-15,4.79540531797718,1.494278151658857e-4,1.234403690500795e-4,5,Simarouba amara,LD_DI
3,protte,2300,2172,1909,391,263,1990-09-22,1995-07-04,4.782484046783089,1.7577347236625502e-4,1.1823126146374699e-4,6,Protium tenuifolium,ST_DI
3,brosal,479,458,422,57,36,1990-08-08,1995-05-19,4.780205316478682,2.5057446630020068e-5,1.5825755766328465e-5,7,Brosimum alicastrum,ST_DT
3,ingape,131,91,79,52,12,1990-11-28,1995-08-31,4.759887984022668,2.6410210032243092e-5,6.09466385359456e-6,8,Inga pezizifera,ST_DI
3,poular,530,336,317,213,19,1990-09-21,1995-07-05,4.789455870226094,1.0786171857124071e-4,9.621467853772645e-6,9,Poulsenia armata,LD_DI
3,casear,36,31,20,16,11,1990-07-14,1995-05-03,4.804384543624492,8.291224352550153e-6,5.70021674237823e-6,10,Casearia arborea,ST_DT
3,hirttr,3668,3573,3193,475,380,1990-08-07,1995-05-15,4.771546707465028,2.1015296106714917e-4,1.6812236885371934e-4,11,Hirtella triandra,ST_DI
3,ocotwh,429,257,229,200,28,1990-10-06,1995-07-09,4.758429659106596,1.0603972605717125e-4,1.4845561648003975e-5,12,Ocotea whitei,ST_DI
3,guatdu,870,703,609,261,94,1990-07-30,1995-05-10,4.779485131652301,1.2512284962856157e-4,4.506340178193405e-5,13,Guatteria dumetorum,LD_DI
3,tri2tu,9822,9528,8359,1463,1169,1990-09-14,1995-06-18,4.76106473496763,6.543153301160672e-4,5.228261250209724e-4,15,Trichilia tuberculata,ST_DT
3,guarsp,1127,995,899,228,96,1990-08-10,1995-05-20,4.779172758445265,1.0412154030145772e-4,4.38406485479822e-5,80,Guarea bullata,ST_DI
3,guargu,1339,1291,1098,241,193,1990-09-04,1995-06-11,4.769356937915022,1.0913417946176175e-4,8.73979113531951e-5,17,Guarea guidonia,ST_DI
3,zantpr,97,71,64,33,7,1990-07-25,1995-04-28,4.762454177117499,1.6220436575753126e-5,3.4406986675839965e-6,18,Zanthoxylum acuminatum,ST_DT
3,termob,34,32,25,9,7,1990-09-22,1995-07-10,4.800392828364222,4.219108777764512e-6,3.2815290493723985e-6,19,Terminalia oblonga,ST_DI
3,guazul,9,8,5,4,3,1990-08-31,1995-04-30,4.6668569254185694,2.1301258020252085e-6,1.5975943515189065e-6,20,Guazuma ulmifolia,ST_DT
3,tab1ro,202,157,141,61,16,1990-08-08,1995-05-21,4.785625725123776,2.923751442622501e-5,7.668856242944265e-6,21,Tabebuia rosea,ST_DI
3,sloate,413,373,360,53,13,1990-07-23,1995-05-06,4.790039604014983,2.3347367454080705e-5,5.726712771755644e-6,22,Sloanea terniflora,ST_DI
3,alchco,46,21,14,32,7,1990-07-11,1995-04-14,4.76230182364786,2.0335410781622728e-5,4.4483711084799715e-6,23,Alchornea costaricensis,LD_DT
3,loncla,634,580,489,145,91,1990-07-04,1995-04-21,4.801493304166809,6.675762333382567e-5,4.189616360950439e-5,24,Lonchocarpus heptaphyllus,ST_DT
3,luehse,105,76,46,59,30,1990-07-15,1995-05-04,4.805860541765374,3.3136940623556024e-5,1.6849291842486112e-5,26,Luehea seemannii,LD_DT
3,tripcu,96,76,55,41,21,1990-10-08,1995-06-24,4.712648702235043,2.1403753875215727e-5,1.0962898326330006e-5,27,Triplaris cumingiana,ST_DT
3,cecrob,16,17,2,14,15,1990-07-18,1995-04-08,4.725886381950038,1.1391059257604095e-5,1.2204706347432959e-5,28,Cecropia obtusifolia,LD_DT
3,licapl,280,269,242,38,27,1990-10-06,1995-07-15,4.774214674921246,1.6849272875217743e-5,1.1971851779759975e-5,29,Licania platypus,ST_DI
3,eugeco,630,576,512,118,64,1990-08-21,1995-06-04,4.78829664057404,5.340929538885037e-5,2.896775343124088e-5,30,Eugenia coloradoensis,ST_DT
3,heisco,533,503,473,60,30,1990-07-25,1995-05-10,4.794235987350205,2.6226409078589534e-5,1.3113204539294767e-5,31,Heisteria concinna,ST_DT
3,eugene,446,430,381,65,49,1990-08-15,1995-05-23,4.771689078667483,2.8965342219415727e-5,2.1835411826944166e-5,32,Eugenia nesiotica,ST_DT
3,pri2co,853,811,772,81,39,1990-05-14,1995-03-03,4.802995305420723,3.507401569413621e-5,1.6887489037917434e-5,33,Prioria copaifera,LD_DI
3,sponra,119,118,62,57,56,1990-07-27,1995-05-02,4.76695763980076,3.0423885150493717e-5,2.9890132779432425e-5,34,Spondias radlkoferi,LD_DT
3,poutre,1436,1282,1110,326,172,1990-08-12,1995-05-21,4.773507218153418,1.508222561212428e-4,7.957493267746554e-5,35,Pouteria reticulata,ST_DT
3,guapst,42,40,36,6,4,1990-07-20,1995-05-15,4.822658186562295,2.642505358866794e-6,1.7616702392445295e-6,36,Guapira standleyana,ST_DT
3,cordbi,613,489,319,294,170,1990-06-05,1995-04-02,4.826966802013742,1.5516450360384564e-4,8.972097147161144e-5,37,Cordia bicolor,LD_DI
3,zantbe,46,36,5,41,31,1990-06-13,1995-06-21,5.02420753093773,3.284942069899928e-5,2.483736686997507e-5,38,Zanthoxylum ekmanii,ST_DT
3,annosp,100,120,53,47,67,1990-08-31,1995-06-07,4.767529680365297,2.4936243446745032e-5,3.554741087089185e-5,40,Annona spraguei,ST_DT
3,tab2ar,954,1002,803,151,199,1990-07-15,1995-04-29,4.792446192305661,6.738217091489839e-5,8.880166895407138e-5,41,Tabernaemontana arborea,ST_DI
3,jac1co,24,15,7,17,8,1990-06-03,1995-04-13,4.861415525114156,1.0746446901606455e-5,5.05715148310892e-6,42,Jacaranda copaia,LD_DI
3,zantp1,123,76,65,58,11,1990-06-13,1995-04-10,4.827726097736823,3.044410410607568e-5,5.77388181322125e-6,43,Zanthoxylum panamense,ST_DT
3,chr2ar,533,550,461,72,89,1990-08-05,1995-05-15,4.777863555755971,3.1892009806734816e-5,3.9422067677769425e-5,44,Chrysophyllum argenteum,ST_DI
3,eugeoe,1841,1684,1438,403,246,1990-08-07,1995-05-16,4.774244607843769,1.8568871270972125e-4,1.1334844497913507e-4,45,Eugenia oerstediana,ST_DT
3,huracr,10,4,4,6,0,1990-10-17,1995-07-21,4.761643835616439,3.5009851071054877e-6,0,46,Hura crepitans,LD_DT
3,sapiau,16,10,6,10,4,1990-08-20,1995-05-15,4.739006849315064,5.982574249350911e-6,2.3930296997403644e-6,47,Sapium glandulosum,LD_DI
3,apeime,30,15,11,19,4,1990-07-02,1995-04-03,4.7544292237442916,1.1414757163689788e-5,2.4031067713031133e-6,48,Apeiba membranacea,LD_DI
3,ingago,325,274,250,75,24,1990-08-06,1995-05-12,4.7687010375885475,3.479571093647465e-5,1.1134627499671887e-5,50,Inga goldmanii,ST_DI
3,ceibpe,13,2,2,11,0,1990-07-27,1995-06-16,4.890516332982088,8.268276557643363e-6,0,51,Ceiba pentandra,LD_DT
3,cavapl,2,2,1,1,1,1990-08-02,1995-09-16,5.126027397260274,5.059090621200277e-7,5.059090621200277e-7,52,Cavanillesia platanifolia,LD_DT
3,chr2ca,81,98,66,15,32,1990-08-23,1995-06-09,4.798271881050749,6.768823602218311e-6,1.444015701806573e-5,53,Chrysophyllum cainito,ST_DT
3,lindla,9,7,4,5,3,1990-08-20,1995-07-06,4.880017395085887,2.7558148972789446e-6,1.6534889383673667e-6,54,Lindackeria laurina,ST_DT
3,virose,1117,900,885,232,15,1990-07-27,1995-05-09,4.787688685582849,1.0603520242085209e-4,6.8557242944516436e-6,83,Virola sebifera,LD_DI
3,pla1pi,79,95,52,27,43,1990-07-28,1995-04-27,4.753101585244539,1.3307686935554402e-5,2.119372363810516e-5,89,Platymiscium pinnatum,ST_DT
3,lacmpa,29,28,21,8,7,1990-07-10,1995-04-23,4.7876408664552255,3.7813489521132913e-6,3.30868033309913e-6,55,Lacmellea panamensis,LD_DT
3,drypst,1599,1520,1387,212,133,1990-09-22,1995-06-25,4.758458765459485,9.417701690300001e-5,5.908275117027831e-5,57,Drypetes standleyi,ST_DT
3,myrofr,7,6,6,1,0,1990-10-31,1995-07-26,4.735942596216569,4.4835113518601966e-7,0,56,Myrospermum frutescens,ST_DT
3,ingaco,64,40,34,30,6,1990-07-28,1995-06-12,4.875616438356164,1.5573637566136297e-5,3.114727513227259e-6,58,Inga cocleensis,ST_DI
3,posola,50,50,43,7,7,1990-07-30,1995-05-22,4.815123287671232,3.08372720149408e-6,3.08372720149408e-6,59,Posoqueria latifolia,ST_DT
3,casesy,113,92,76,37,16,1990-07-07,1995-04-10,4.762347214682148,1.8060889747871744e-5,7.81011448556616e-6,60,Casearia sylvestris,ST_DT
3,pla2el,84,67,51,33,16,1990-08-10,1995-05-27,4.798096114340238,1.6593808295034348e-5,8.045482809713623e-6,61,Platypodium elegans,ST_DT
3,cordal,45,32,20,25,12,1990-07-19,1995-05-28,4.860683028919331,1.3829439092857064e-5,6.638130764571391e-6,62,Cordia alliodora,ST_DT
3,dio2ar,48,54,42,6,12,1990-06-17,1995-04-24,4.852467021816337,2.6057347818123518e-6,5.2114695636247035e-6,63,Diospyros artanthifolia,ST_DT
3,tratas,7,3,2,5,1,1990-06-04,1995-04-29,4.903587736464447,3.156362775755112e-6,6.312725551510223e-7,64,Trattinnickia aspera,LD_DT
3,apeiti,5,2,0,5,2,1990-05-17,1995-05-12,4.986849315068493,1e-5,4.000000000000001e-6,65,Apeiba tibourbou,LD_DT
3,gar2in,3790,3752,3419,371,333,1990-08-24,1995-05-31,4.769640437835813,1.6196256358240848e-4,1.4537340612652837e-4,72,Garcinia intermedia,ST_DT
3,poutst,28,32,24,4,8,1990-07-20,1995-04-16,4.74382338551859,1.7904733499174687e-6,3.5809466998349373e-6,87,Pouteria stipitata,ST_DI
3,tab1gu,36,35,30,6,5,1990-06-11,1995-03-30,4.803220265275063,2.6817702562042527e-6,2.234808546836877e-6,66,Tabebuia guayacan,ST_DT
3,ingafa,67,65,51,16,14,1990-07-05,1995-04-23,4.801811175943256,7.402349249665341e-6,6.477055593457173e-6,67,Inga laurina,ST_DT
3,sterap,27,24,17,10,7,1990-08-05,1995-06-06,4.838939624556063,4.923528290010285e-6,3.4464698030071996e-6,69,Sterculia apetala,LD_DT
3,cassel,759,788,700,59,88,1990-07-12,1995-04-23,4.783806138222741,2.5462075092263267e-5,3.797733234100284e-5,70,Cassipourea elliptica,ST_DI
3,calolo,722,835,598,124,237,1990-07-31,1995-05-04,4.763030785846062,5.6012058133966796e-5,1.0705530465927525e-4,71,Calophyllum longifolium,ST_DI
3,hyeral,44,35,29,15,6,1990-06-25,1995-04-20,4.822828678171143,7.287371220857691e-6,2.9149484883430767e-6,73,Hieronyma alchorneoides,ST_DT
3,zuelgu,24,28,15,9,13,1990-10-03,1995-07-07,4.762018917155903,4.511235611012282e-6,6.5162292159066295e-6,74,Zuelania guidonia,ST_DT
3,cecrin,83,74,2,81,72,1990-07-18,1995-04-19,4.757493654737424,9.014172944477172e-5,8.012598172868597e-5,75,Cecropia insignis,LD_DT
3,hassfl,383,263,240,143,23,1990-07-30,1995-05-12,4.787170839647463,7.12534965030867e-5,1.1460352584412545e-5,76,Hasseltia floribunda,ST_DI
3,sponmo,48,48,20,28,28,1990-06-04,1995-03-24,4.80519406392694,1.5989648446359195e-5,1.5989648446359195e-5,77,Spondias mombin,LD_DT
3,ingama,561,372,267,294,105,1990-08-23,1995-05-19,4.740928271039266,1.6264705511513387e-4,5.808823396969067e-5,78,Inga marginata,ST_DI
3,allops,95,65,59,36,6,1990-08-18,1995-05-26,4.770785868781546,1.8054253034236647e-5,3.0090421723727745e-6,79,Allophylus psilospermus,ST_DI
3,virosp,17,12,9,8,3,1990-08-26,1995-04-21,4.653639538006983,4.3430732940496606e-6,1.6286524852686226e-6,81,Virola multiflora,LD_DT
3,sympgl,124,120,103,21,17,1990-09-13,1995-06-25,4.78303579319487,9.43665955417865e-6,7.639200591477953e-6,82,Symphonia globulifera,ST_DI
3,mar1la,10,11,9,1,2,1990-10-18,1995-07-29,4.7800996264009985,4.3600701582950934e-7,8.720140316590187e-7,139,Marila laxiflora,ST_DT
3,aspicr,383,366,330,53,36,1990-09-24,1995-06-20,4.741401939647379,2.3688454822040487e-5,1.6090271199876558e-5,85,Aspidosperma spruceanum,ST_DI
3,dendar,19,11,10,9,1,1990-06-05,1995-04-16,4.865137314019796,4.696685849945684e-6,5.218539833272983e-7,86,Dendropanax arboreus,LD_DT
3,andiin,200,197,182,18,15,1990-09-14,1995-06-16,4.7568862387872874,7.852356737777733e-6,6.543630614814777e-6,88,Andira inermis,ST_DT
3,diptpa,16,13,11,5,2,1990-07-23,1995-05-15,4.812947839831399,2.3967317721826617e-6,9.586927088730646e-7,90,Dipteryx oleifera,ST_DT
3,ast2gr,19,28,15,4,13,1990-07-07,1995-04-02,4.738546709238856,1.8491733964916968e-6,6.009813538598015e-6,91,Astronium graveolens,ST_DT
3,hirtam,32,26,25,7,1,1990-10-08,1995-07-14,4.767169388830344,3.2297890627972663e-6,4.613984375424666e-7,92,Hirtella americana,ST_DT
3,tropra,241,237,205,36,32,1990-09-01,1995-06-13,4.78167894259824,1.6035544665431665e-5,1.4253817480383701e-5,94,Trophis racemosa,ST_DT
3,protpa,2635,2571,2278,357,293,1990-06-30,1995-04-22,4.8112625264080044,1.5707786410818484e-4,1.289182470131601e-4,95,Protium panamense,LD_DI
3,ficuto,4,2,2,2,0,1990-09-26,1995-09-17,4.977397260273973,1.0399783933230385e-6,0,96,Ficus tonduzii,LD_DT
3,unonpi,468,386,335,133,51,1990-08-08,1995-05-22,4.788129673813538,6.3127850024942e-5,2.4206919934376256e-5,99,Unonopsis pittieri,LD_DI
3,maquco,984,954,854,130,100,1990-08-08,1995-05-22,4.790549332089344,5.7357003002691906e-5,4.412077154053223e-5,97,Maquira guianensis,ST_DI
3,gar2ma,433,330,302,131,28,1990-07-20,1995-04-25,4.766412557988372,6.305098472126307e-5,1.3476546352636382e-5,98,Garcinia madruno,ST_DI
3,macrgl,71,63,58,13,5,1990-10-22,1995-07-27,4.766621035191358,5.898716961228639e-6,2.2687372927802454e-6,100,Macrocnemum roseum,LD_DT
3,cespma,3,2,2,1,0,1990-12-14,1995-09-26,4.786301369863014,4.873480281832667e-7,0,101,Cespedesia spathulata,ST_DT
3,cordla,796,757,570,226,187,1990-08-11,1995-05-18,4.771118144785557,1.0762423347899621e-4,8.905191000253227e-5,110,Cordia lasiocalyx,LD_DT
3,cupala,35,27,20,15,7,1990-08-25,1995-05-30,4.764772051895337,7.756964721351224e-6,3.6199168699639044e-6,102,Cupania latifolia,ST_DT
3,xyl1ma,730,756,622,108,134,1990-09-07,1995-06-06,4.747829546029958,4.841268170326719e-5,6.0067586557757436e-5,104,Xylopia macrantha,ST_DI
3,geniam,45,37,36,9,1,1990-09-03,1995-06-17,4.7903755810605135,4.09620303052243e-6,4.5513367005804775e-7,105,Genipa americana,ST_DT
3,ingasp,5,3,3,2,0,1990-07-27,1995-06-23,4.908493150684931,9.883755510417846e-7,0,106,Inga spectabilis,ST_DT
3,hampap,14,8,3,11,5,1990-06-11,1995-03-26,4.79055772994129,7.699492021180016e-6,3.4997691005363714e-6,107,Hampea appendiculata,LD_DI
3,nectci,240,175,143,97,32,1990-04-25,1995-02-20,4.829639921722112,4.879900640975382e-5,1.6098641289815695e-5,111,Nectandra cissiflora,ST_DI
3,ficuma,4,1,1,3,0,1990-05-19,1995-05-08,4.971232876712329,1.9468533121760236e-6,0,112,Ficus maxima,LD_DT
3,maytsc,50,48,43,7,5,1990-09-21,1995-06-21,4.750413242009133,3.125070413702413e-6,2.2321931526445808e-6,113,Maytenus schippii,ST_DI
3,phoeci,56,43,28,28,15,1990-08-02,1995-05-04,4.7562372002002435,1.5188623606998669e-5,8.13676264660643e-6,114,Cinnamomum triplinerve,LD_DT
3,licahy,96,103,91,5,12,1990-08-30,1995-05-26,4.740721283858667,2.154125478954022e-6,5.169901149489653e-6,115,Licania hypoleuca,ST_DI
3,tachve,2792,2629,2250,542,379,1990-07-17,1995-04-29,4.786975808533998,2.461717855917897e-4,1.7213857331972008e-4,116,Tachigali versicolor,ST_DT
3,protco,577,526,456,121,70,1990-08-04,1995-05-15,4.780797210787714,5.543356350918027e-5,3.2069003682996854e-5,117,Protium costaricense,ST_DI
3,celtsc,61,48,47,14,1,1990-08-26,1995-06-06,4.780288569503704,6.4759083127074874e-6,4.6256487947910624e-7,118,Celtis schippii,ST_DT
3,nects1,4,1,1,3,0,1990-10-16,1995-07-07,4.726027397260274,2.033803087349233e-6,0,119,Nectandra fuzzy,ST_DT
3,tremmi,2,6,0,2,6,1990-07-01,1995-06-07,4.936986301369863,4e-6,1.2e-5,123,Trema micrantha,LD_DT
3,ingasa,177,142,127,50,15,1990-07-17,1995-04-26,4.779967865392184,2.3750577764738756e-5,7.125173329421628e-6,124,Inga sapindoides,ST_DI
3,ocotce,269,236,182,87,54,1990-08-01,1995-05-12,4.781296160913803,4.221451911033694e-5,2.6202115309864305e-5,125,Ocotea cernua,LD_DT
3,guargr,38,39,30,8,9,1990-07-04,1995-04-28,4.818072578707041,3.638788283655821e-6,4.0936368191127984e-6,126,Guarea grandifolia,ST_DT
3,ingapu,11,8,7,4,1,1990-09-01,1995-05-02,4.667434620174345,2.030533458490117e-6,5.076333646225292e-7,127,Inga punctata,ST_DT
3,nectgl,97,93,60,37,33,1990-08-29,1995-06-18,4.805299962188684,1.8455565195207475e-5,1.646036895788775e-5,128,Nectandra lineata,ST_DT
3,micoar,740,611,269,471,342,1990-07-31,1995-05-23,4.814558449892171,2.805549510877539e-4,2.037150600255028e-4,130,Miconia argentea,ST_DT
3,ficuin,3,5,2,1,3,1990-11-11,1995-07-08,4.657899543378991,5.002064630671044e-7,1.5006193892013133e-6,132,Ficus insipida,LD_DT
3,ormoma,97,107,94,3,13,1990-07-15,1995-04-29,4.792349937373542,1.2676053968529546e-6,5.4929567196961366e-6,133,Ormosia macrocalyx,ST_DT
3,termam,21,14,13,8,1,1990-07-14,1995-04-23,4.7791258969341195,4.0100302178682e-6,5.01253777233525e-7,137,Terminalia amazonia,ST_DT
3,tri2pa,409,382,327,82,55,1990-08-01,1995-05-12,4.78177031283674,3.739520256614835e-5,2.5082148062660478e-5,134,Trichilia pallida,ST_DT
3,pse1se,10,4,3,7,1,1990-07-22,1995-03-08,4.631369863013699,4.578357739462975e-6,6.540511056375678e-7,138,Pseudobombax septenatum,LD_DT
3,pochse,9,8,7,2,1,1990-09-08,1995-06-13,4.762899543378995,9.251477778994481e-7,4.6257388894972406e-7,142,Pachira sessilis,LD_DT
3,ocotpu,176,126,99,77,27,1990-07-17,1995-05-11,4.818511435292261,3.961882886986849e-5,1.3892316616707135e-5,143,Ocotea puberula,LD_DI
3,ingami,7,4,3,4,1,1990-07-14,1995-05-01,4.800293542074366,2.2653296654925743e-6,5.663324163731436e-7,144,Inga oerstediana,LD_DT
3,ingaru,11,8,7,4,1,1990-09-25,1995-06-09,4.707503113325029,2.014066865491779e-6,5.035167163729448e-7,145,Inga ruiziana,ST_DT
3,cuparu,87,99,74,13,25,1990-07-28,1995-05-09,4.783761087492781,5.788259520789278e-6,1.113126830921015e-5,146,Cupania rufescens,ST_DT
3,vochfe,12,8,6,6,2,1990-06-03,1995-03-29,4.8220319634703195,3.213412225652495e-6,1.0711374085508316e-6,148,Vochysia ferruginea,LD_DI
3,coccco,140,103,84,56,19,1990-08-04,1995-05-10,4.767400870176509,2.845047402355003e-5,9.652839400847331e-6,150,Coccoloba coronata,ST_DT
3,cupaci,8,6,5,3,1,1990-08-04,1995-05-13,4.776369863013699,1.4994457538824352e-6,4.99815251294145e-7,164,Cupania cinerea,ST_DT
3,laetpr,8,6,3,5,3,1990-04-29,1995-03-24,4.905479452054794,2.899595897469414e-6,1.7397575384816483e-6,152,Laetia procera,ST_DT
3,entesc,7,6,6,1,0,1990-05-18,1995-04-01,4.874494455316375,4.3580774750274065e-7,0,154,Enterolobium schomburgkii,ST_DT
3,cedrod,7,3,2,5,1,1990-08-27,1995-06-26,4.8337899543379,3.196291273849258e-6,6.392582547698516e-7,155,Cedrela odorata,LD_DT
3,ingaqu,539,469,432,107,37,1990-08-21,1995-05-27,4.766952666459049,4.8898814436670324e-5,1.690893583324114e-5,156,Inga nobilis,ST_DT
3,pourbi,21,26,17,4,9,1990-04-27,1995-02-24,4.832440162577151,1.7969680294818689e-6,4.043178066334205e-6,157,Pourouma bicolor,LD_DI
3,ingath,65,62,33,32,29,1990-04-21,1995-02-28,4.861142798871479,1.6921098383244883e-5,1.5334745409815676e-5,159,Inga thibaudiana,ST_DI
3,sipagu,3,2,1,2,1,1990-03-24,1995-01-08,4.797716894977169,1.22796426641451e-6,6.13982133207255e-7,170,Siparuna guianensis,ST_DT
3,oenoma,22,22,8,14,14,1990-06-28,1995-04-25,4.825280199252802,8.321666901578288e-6,8.321666901578288e-6,165,Oenocarpus mapora,ST_DT
3,ery2ma,257,230,182,75,48,1990-08-12,1995-05-20,4.771858272132521,3.585700326003576e-5,2.2948482086422886e-5,171,Erythroxylum macrophyllum,ST_DT
3,nectpu,63,68,51,12,17,1990-06-28,1995-04-13,4.796112965734238,5.430843561419786e-6,7.693695045344696e-6,174,Nectandra purpurea,LD_DI
3,socrex,38,38,12,26,26,1990-05-15,1995-03-15,4.836842105263157,1.6115307113229376e-5,1.6115307113229376e-5,163,Socratea exorrhiza,LD_DI
3,perexa,206,183,166,40,17,1990-05-08,1995-03-01,4.815253234610755,1.8063757214659952e-5,7.67709681623048e-6,173,Perebea xanthochyma,ST_DI
3,schipa,8,8,6,2,2,1990-05-06,1995-03-24,4.885616438356164,9.149340056298296e-7,9.149340056298296e-7,176,Schizolobium parahyba,LD_DT
4,aegipa,24,18,12,12,6,1995-04-26,2000-04-22,4.993645357686449,6.22094395145089e-6,3.110471975725445e-6,168,Aegiphila panamensis,ST_DT
4,beilpe,2040,1772,1569,471,203,1995-05-02,2000-04-28,4.995502937932654,2.0886611411956996e-4,9.002085173306306e-5,16,Beilschmiedia pendula,ST_DI
4,tet2pa,3363,3415,2848,515,567,1995-05-15,2000-05-13,5.001397707577596,2.1985824763219903e-4,2.4205752700477058e-4,39,Tetragastris panamensis,ST_DI
