int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
2,ocotob,130,138,54,76,84,1985-04-22,1990-07-23,5.255382782791953,4.002583743451176e-5,4.423908348024984e-5,109,Ocotea oblonga,LD_DT
2,solaha,42,49,8,34,41,1985-04-25,1990-08-07,5.286506383375268,2.2616259999524272e-5,2.727254882295574e-5,167,Solanum hayesii,LD_DI
2,quaras,1284,1218,1042,242,176,1985-05-16,1990-08-31,5.297820523412415,9.926041740592308e-5,7.218939447703496e-5,1,Quararibea asterolepis,LD_DT
2,gustsu,50,71,23,27,48,1985-05-08,1990-08-23,5.298498167084699,1.363229759768041e-5,2.423519572920962e-5,2,Gustavia superba,ST_DT
2,pterro,1398,1464,1096,302,368,1985-04-14,1990-07-16,5.257640356290518,1.2647658371148744e-4,1.5411716160869992e-4,3,Pterocarpus rohrii,LD_DI
2,virosu,53,40,34,19,6,1985-04-27,1990-07-25,5.246368570690103,8.600390174422921e-6,2.7159126866598698e-6,4,Virola surinamensis,LD_DI
2,simaam,763,784,427,336,357,1985-04-03,1990-06-30,5.2446756225425935,1.598846427714443e-4,1.6987743294465956e-4,5,Simarouba amara,LD_DI
2,protte,2209,2300,1769,440,531,1985-06-12,1990-09-22,5.282922021046067,1.819079896826143e-4,2.1952986936697318e-4,6,Protium tenuifolium,ST_DI
2,brosal,475,479,411,64,68,1985-05-04,1990-08-08,5.266617312864911,2.574967979473657e-5,2.7359034781907603e-5,7,Brosimum alicastrum,ST_DT
2,ingape,153,131,99,54,32,1985-08-07,1990-11-28,5.31334808244466,2.407080555997516e-5,1.4264181072577872e-5,8,Inga pezizifera,ST_DI
2,poular,936,530,477,459,53,1985-05-21,1990-09-21,5.340469113466012,2.2198776725345745e-4,2.5632574432316436e-5,9,Poulsenia armata,LD_DI
2,casear,59,36,22,37,14,1985-04-25,1990-07-14,5.223014214586075,2.0308947569052235e-5,7.684466647749494e-6,10,Casearia arborea,ST_DT
2,hirttr,3432,3668,2968,464,700,1985-05-04,1990-08-07,5.263465561243455,1.8683462317997952e-4,2.81862578073245e-4,11,Hirtella triandra,ST_DI
2,ocotwh,607,429,348,259,81,1985-06-17,1990-10-06,5.305896534765214,1.2084269855100124e-4,3.779250418004286e-5,12,Ocotea whitei,ST_DI
2,guatdu,922,870,688,234,182,1985-04-25,1990-07-30,5.266144583786314,9.971460014543847e-5,7.755580011311882e-5,13,Guatteria dumetorum,LD_DI
2,tri2tu,9509,9822,7750,1759,2072,1985-05-30,1990-09-14,5.296602025661958,7.204425455776399e-4,8.486395420334677e-4,15,Trichilia tuberculata,ST_DT
2,guarsp,1234,1127,945,289,182,1985-05-07,1990-08-10,5.263263237613718,1.2200134216099527e-4,7.683129506332574e-5,80,Guarea bullata,ST_DI
2,guargu,1251,1339,1021,230,318,1985-05-27,1990-09-04,5.2771938341579165,9.449113311647687e-5,1.3064426230886803e-4,17,Guarea guidonia,ST_DI
2,zantpr,149,97,86,63,11,1985-04-18,1990-07-25,5.271196101866324,2.9505906999684237e-5,5.151825031690899e-6,18,Zanthoxylum acuminatum,ST_DT
2,termob,33,34,24,9,10,1985-05-29,1990-09-22,5.321644323981151,3.833671292191721e-6,4.259634769101912e-6,19,Terminalia oblonga,ST_DI
2,guazul,8,9,4,4,5,1985-06-21,1990-08-31,5.195912154816265,1.9981940647062186e-6,2.497742580882773e-6,20,Guazuma ulmifolia,ST_DT
2,tab1ro,187,202,137,50,65,1985-05-03,1990-08-08,5.268184102858308,2.1448068371581473e-5,2.7882488883055917e-5,21,Tabebuia rosea,ST_DI
2,sloate,427,413,381,46,32,1985-04-29,1990-07-23,5.2356471057137535,1.8391405477983137e-5,1.2794021202075226e-5,22,Sloanea terniflora,ST_DI
2,alchco,86,46,19,67,27,1985-04-30,1990-07-11,5.200983420363729,4.333882527826922e-5,1.7464899739004015e-5,23,Alchornea costaricensis,LD_DT
2,loncla,582,634,449,133,185,1985-04-07,1990-07-04,5.24364776461528,5.6191322117160424e-5,7.816086159153894e-5,24,Lonchocarpus heptaphyllus,ST_DT
2,luehse,79,105,37,42,68,1985-04-12,1990-07-15,5.261735490103793,2.121157564451837e-5,3.4342551043505935e-05,26,Luehea seemannii,LD_DT
2,tripcu,129,96,71,58,25,1985-06-11,1990-10-08,5.330526574280555,2.734149511007214e-5,1.1785127202617302e-5,27,Triplaris cumingiana,ST_DT
2,cecrob,12,16,0,12,16,1985-04-17,1990-07-18,5.254680365296803,2.4e-5,3.2e-5,28,Cecropia obtusifolia,LD_DT
2,licapl,262,280,222,40,58,1985-06-30,1990-10-06,5.2703451546884565,1.621513867407652e-5,2.3511951077410955e-5,29,Licania platypus,ST_DI
2,eugeco,658,630,511,147,119,1985-05-11,1990-08-21,5.282089816009951,6.150851763947712e-5,4.979260951767195e-5,30,Eugenia coloradoensis,ST_DT
2,heisco,530,533,443,87,90,1985-05-05,1990-07-25,5.224140730887797,3.5764900963033846e-5,3.699817341003501e-5,31,Heisteria concinna,ST_DT
2,eugene,449,446,381,68,65,1985-05-05,1990-08-15,5.284374638729361,2.7478133214162144e-5,2.6265862631184403e-5,32,Eugenia nesiotica,ST_DT
2,pri2co,861,853,760,101,93,1985-03-08,1990-05-14,5.188353568960446,4.09188222268739e-5,3.7677727397022503e-5,33,Prioria copaifera,LD_DI
2,sponra,85,119,48,37,71,1985-05-03,1990-07-27,5.235634856682395,1.7578132096255182e-5,3.3731010238759946e-5,34,Spondias radlkoferi,LD_DT
2,poutre,1413,1436,1096,317,340,1985-05-05,1990-08-12,5.275769620500034,1.3285793019305166e-4,1.4249746456037086e-4,35,Pouteria reticulata,ST_DT
2,guapst,63,42,37,26,5,1985-04-21,1990-07-20,5.248423570341376,1.2150565364780078e-5,2.3366471855346304e-6,36,Guapira standleyana,ST_DT
2,cordbi,395,613,216,179,397,1985-03-13,1990-06-05,5.23168478130195,8.608499620067402e-5,1.909259412942323e-4,37,Cordia bicolor,LD_DI
