"","pft","int","a","m","r","ra","n_dead"
"1","LD_DI",4,147.925714285714,0.0724550531251009,41.7228571428571,44.4838005352886,10.7226978422462
"2","LD_DT",4,888.402857142857,0.0843357669580622,25.2,28.2272602944807,75.3382423575864
"3","ST_DI",4,904.211428571429,0.0329604892250548,87.7114285714286,91.0332132416498,29.2518928337659
"4","ST_DT",4,1016.63428571429,0.0457653853081296,122.045714285714,128.444284756657,46.039130298474
