year,pft,submodel,ED2
2001-01-01,LD_DI,0,0.6757071373169946
2001-01-01,LD_DT,0,0.8826690336621541
2001-01-01,ST_DI,0,0.5363992004684272
2001-01-01,ST_DT,0,0.5615883091173157
2002-01-01,LD_DI,7.722720629942899,172.2132632319491
2002-01-01,LD_DT,16.884649393870635,275.9651452845049
2002-01-01,ST_DI,6.2590553003102185,153.6070473603205
2002-01-01,ST_DT,9.77790956069562,179.09660608966547
2003-01-01,LD_DI,15.613516594999727,159.28450164854493
2003-01-01,LD_DT,36.33840375973759,260.8118813870333
2003-01-01,ST_DI,22.860391555414626,146.4122699406408
2003-01-01,ST_DT,36.22730471242309,173.78077693861664
2004-01-01,LD_DI,19.128622602412225,178.60956145846936
2004-01-01,LD_DT,42.32883205349662,288.9885997327492
2004-01-01,ST_DI,39.01713503853724,161.56493052197655
2004-01-01,ST_DT,57.34842520748396,182.29095350103967
2005-01-01,LD_DI,19.339399857868486,194.9939978261826
2005-01-01,LD_DT,42.70385445448852,298.1442751010453
2005-01-01,ST_DI,47.49825302265239,167.74556540727178
2005-01-01,ST_DT,68.43338324275646,184.72937711608546
2006-01-01,LD_DI,18.746283528378118,180.5666135523633
2006-01-01,LD_DT,43.409999296005836,283.4986796608838
2006-01-01,ST_DI,51.95915601387693,151.72768964658695
2006-01-01,ST_DT,74.98588328668093,180.02476559994898
2007-01-01,LD_DI,18.57294906907313,196.7557484384198
2007-01-01,LD_DT,43.16673503323281,300.21385550146124
2007-01-01,ST_DI,52.39136215547725,176.3794296695571
2007-01-01,ST_DT,75.94267832708371,179.19879473415412
2008-01-01,LD_DI,16.97187527103855,142.67975039604013
2008-01-01,LD_DT,42.766648189422625,239.6710111014201
2008-01-01,ST_DI,58.620315447681165,135.77188458852604
2008-01-01,ST_DT,82.2951085411761,165.01742337686096
2009-01-01,LD_DI,17.350030763526892,170.81761809257014
2009-01-01,LD_DT,45.173422916341224,274.70252102667115
2009-01-01,ST_DI,58.28476170693749,148.67147050882804
2009-01-01,ST_DT,83.95436099316574,173.77712854901117
2010-01-01,LD_DI,15.966219916765485,156.950817542752
2010-01-01,LD_DT,44.021500220252356,264.79704353178204
2010-01-01,ST_DI,51.05038262915539,146.80431273545307
2010-01-01,ST_DT,80.90859920600928,169.86770937940355
2011-01-01,LD_DI,17.194635323162057,177.85386563792835
2011-01-01,LD_DT,45.00736332817401,286.4010250746981
2011-01-01,ST_DI,56.61383698725442,164.13642353133412
2011-01-01,ST_DT,82.54427134225263,178.25805156238872
2012-01-01,LD_DI,17.549584933293914,197.31964249398027
2012-01-01,LD_DT,44.30902702957715,294.38341233822996
2012-01-01,ST_DI,56.82861193043029,172.45825316439434
2012-01-01,ST_DT,81.37092699935613,181.73302369400855
2013-01-01,LD_DI,17.204803630799134,184.7290888393197
2013-01-01,LD_DT,44.20138365063855,273.63789246873534
2013-01-01,ST_DI,57.577640803544185,158.86378884079988
2013-01-01,ST_DT,82.19897721547748,177.94226266166083
2014-01-01,LD_DI,17.04985144240032,210.18880925314045
2014-01-01,LD_DT,42.847048039037695,283.55707833266075
2014-01-01,ST_DI,56.50252612312102,173.18753755069983
2014-01-01,ST_DT,80.2847615615841,185.85854336122827
2015-01-01,LD_DI,17.023709205583643,159.5242059938294
2015-01-01,LD_DT,45.635051821892375,224.2073440402826
2015-01-01,ST_DI,60.018870715243295,137.56347346877263
2015-01-01,ST_DT,86.36734874790227,164.76702709326034
2016-01-01,LD_DI,16.794730812557848,195.33933925009288
2016-01-01,LD_DT,44.61411270737403,250.55331867644796
2016-01-01,ST_DI,58.87793146579056,155.75565295726892
2016-01-01,ST_DT,86.62521680658466,174.71518060600596
2017-01-01,LD_DI,14.753091968410166,183.62429734893567
2017-01-01,LD_DT,41.17542645976849,236.33243034959037
2017-01-01,ST_DI,51.027036883580195,145.5528376464879
2017-01-01,ST_DT,81.97251654931983,171.1737138787835
2018-01-01,LD_DI,17.360071938529902,211.79733749651913
2018-01-01,LD_DT,44.945197876106555,255.6271780461266
2018-01-01,ST_DI,55.34995750404747,155.88468296727834
2018-01-01,ST_DT,82.61534353727147,180.29508570570223
2019-01-01,LD_DI,18.98514079427432,233.78081527668726
2019-01-01,LD_DT,45.565702389352154,261.8552621376573
2019-01-01,ST_DI,54.65221210810358,171.96775077304338
2019-01-01,ST_DT,82.40528248449752,182.872762364417
2020-01-01,LD_DI,18.00606419404093,218.82753581100928
2020-01-01,LD_DT,43.35000723367394,237.8373915231777
2020-01-01,ST_DI,55.8597713911972,160.2269630477779
2020-01-01,ST_DT,82.87738089268858,177.828781686193
2021-01-01,LD_DI,17.627803800785557,242.50102062843402
2021-01-01,LD_DT,40.582504398788465,250.24202630548456
2021-01-01,ST_DI,55.70444571482114,174.7193193052094
2021-01-01,ST_DT,80.93638870358103,183.88786779961836
