year,pft,submodel,ED2
2001-01-01,LD_DI,0,0.6757071373169946
2001-01-01,LD_DT,0,0.8826690336621541
2001-01-01,ST_DI,0,0.5363992004684272
2001-01-01,ST_DT,0,0.5615883091173157
2002-01-01,LD_DI,3.8581879104116696,172.2132632319491
2002-01-01,LD_DT,9.4751401797657,275.9651452845049
2002-01-01,ST_DI,7.7476437590322424,153.6070473603205
2002-01-01,ST_DT,14.815969378424194,179.09660608966547
2003-01-01,LD_DI,6.329085932618285,159.28450164854493
2003-01-01,LD_DT,15.509297189082968,260.8118813870333
2003-01-01,ST_DI,22.792873382744258,146.4122699406408
2003-01-01,ST_DT,44.93444330322614,173.78077693861664
2004-01-01,LD_DI,11.809664786343381,178.60956145846936
2004-01-01,LD_DT,28.34429118211642,288.9885997327492
2004-01-01,ST_DI,37.79296099395937,161.56493052197655
2004-01-01,ST_DT,70.06114582002478,182.29095350103967
2005-01-01,LD_DI,7.619215914679992,194.9939978261826
2005-01-01,LD_DT,17.753551105834955,298.1442751010453
2005-01-01,ST_DI,40.42671129327089,167.74556540727178
2005-01-01,ST_DT,73.67015145763413,184.72937711608546
2006-01-01,LD_DI,10.694486699243779,180.5666135523633
2006-01-01,LD_DT,25.943942629484507,283.4986796608838
2006-01-01,ST_DI,43.90553967484405,151.72768964658695
2006-01-01,ST_DT,80.95818872847717,180.02476559994898
2007-01-01,LD_DI,8.861549104899934,196.7557484384198
2007-01-01,LD_DT,21.430465959012142,300.21385550146124
2007-01-01,ST_DI,41.47368879642652,176.3794296695571
2007-01-01,ST_DT,76.9297840034994,179.19879473415412
2008-01-01,LD_DI,7.786379101048656,142.67975039604013
2008-01-01,LD_DT,20.161601829062533,239.6710111014201
2008-01-01,ST_DI,44.467398156186796,135.77188458852604
2008-01-01,ST_DT,78.65931409000758,165.01742337686096
2009-01-01,LD_DI,9.70072233385142,170.81761809257014
2009-01-01,LD_DT,25.813966756328288,274.70252102667115
2009-01-01,ST_DI,43.32126735329674,148.67147050882804
2009-01-01,ST_DT,79.88506957571136,173.77712854901117
2010-01-01,LD_DI,8.34389690927125,156.950817542752
2010-01-01,LD_DT,22.720038291949404,264.79704353178204
2010-01-01,ST_DI,38.92923054210968,146.80431273545307
2010-01-01,ST_DT,77.69313879157724,169.86770937940355
2011-01-01,LD_DI,11.196815163286763,177.85386563792835
2011-01-01,LD_DT,30.29620694586479,286.4010250746981
2011-01-01,ST_DI,45.86996977633746,164.13642353133412
2011-01-01,ST_DT,84.48291559460343,178.25805156238872
2012-01-01,LD_DI,7.429720261821035,197.31964249398027
2012-01-01,LD_DT,19.0555293550809,294.38341233822996
2012-01-01,ST_DI,44.158554948311206,172.45825316439434
2012-01-01,ST_DT,79.43759729473685,181.73302369400855
2013-01-01,LD_DI,10.040033177843025,184.7290888393197
2013-01-01,LD_DT,26.27467793689943,273.63789246873534
2013-01-01,ST_DI,46.20834457387548,158.86378884079988
2013-01-01,ST_DT,83.16050532666412,177.94226266166083
2014-01-01,LD_DI,8.014228200927578,210.18880925314045
2014-01-01,LD_DT,20.186404603624403,283.55707833266075
2014-01-01,ST_DI,43.84582610653315,173.18753755069983
2014-01-01,ST_DT,78.77136607279265,185.85854336122827
2015-01-01,LD_DI,9.433505547885254,159.5242059938294
2015-01-01,LD_DT,24.991798211224463,224.2073440402826
2015-01-01,ST_DI,45.12416273526336,137.56347346877263
2015-01-01,ST_DT,83.0849168189007,164.76702709326034
2016-01-01,LD_DI,9.638310430763768,195.33933925009288
2016-01-01,LD_DT,24.995856606291426,250.55331867644796
2016-01-01,ST_DI,44.64263618576727,155.75565295726892
2016-01-01,ST_DT,83.98968384489125,174.71518060600596
2017-01-01,LD_DI,5.5992142998085725,183.62429734893567
2017-01-01,LD_DT,14.570763406824529,236.33243034959037
2017-01-01,ST_DI,35.49931752853519,145.5528376464879
2017-01-01,ST_DT,71.75922449652708,171.1737138787835
2018-01-01,LD_DI,11.835796448034932,211.79733749651913
2018-01-01,LD_DT,29.847123857079563,255.6271780461266
2018-01-01,ST_DI,43.12580219494717,155.88468296727834
2018-01-01,ST_DT,81.8588053371108,180.29508570570223
2019-01-01,LD_DI,9.27662273406659,233.78081527668726
2019-01-01,LD_DT,21.544113360296617,261.8552621376573
2019-01-01,ST_DI,42.32930750805899,171.96775077304338
2019-01-01,ST_DT,81.85445642380077,182.872762364417
2020-01-01,LD_DI,10.937923412064643,218.82753581100928
2020-01-01,LD_DT,25.425769195570364,237.8373915231777
2020-01-01,ST_DI,45.02278525900867,160.2269630477779
2020-01-01,ST_DT,84.06936198147403,177.828781686193
2021-01-01,LD_DI,8.360770499497896,242.50102062843402
2021-01-01,LD_DT,18.487460812956826,250.24202630548456
2021-01-01,ST_DI,43.39072400981245,174.7193193052094
2021-01-01,ST_DT,78.85154363139777,183.88786779961836
