yr,month,rain,run
2001,01,8.875708394043613,analy_dry75
2001,02,9.336729360802565,analy_dry75
2001,03,8.178149694140302,analy_dry75
2001,04,22.03759342082776,analy_dry75
2001,05,128.9803046034649,analy_dry75
2001,06,304.35140000190586,analy_dry75
2001,07,241.70933633577079,analy_dry75
2001,08,484.5287438482046,analy_dry75
2001,09,95.98369124578312,analy_dry75
2001,10,383.0603807698935,analy_dry75
2001,11,406.2462563160807,analy_dry75
2001,12,83.27663855161518,analy_dry75
2002,01,11.233395303133875,analy_dry75
2002,02,13.62172088411171,analy_dry75
2002,03,1.7701415035844548,analy_dry75
2002,04,7.342419170890935,analy_dry75
2002,05,136.53092058375478,analy_dry75
2002,06,185.7151689939201,analy_dry75
2002,07,267.2814108431339,analy_dry75
2002,08,183.56463750824332,analy_dry75
2002,09,116.39366779709235,analy_dry75
2002,10,114.71922631608322,analy_dry75
2002,11,503.02574671804905,analy_dry75
2002,12,58.32471366156824,analy_dry75
2003,01,4.250338947895216,analy_dry75
2003,02,14.615464983216953,analy_dry75
2003,03,16.301309336267877,analy_dry75
2003,04,32.26842024887446,analy_dry75
2003,05,173.93395837862045,analy_dry75
2003,06,320.34860879648477,analy_dry75
2003,07,368.209490692243,analy_dry75
2003,08,365.94924218952656,analy_dry75
2003,09,247.73053997196257,analy_dry75
2003,10,332.3666366748512,analy_dry75
2003,11,543.3909296058118,analy_dry75
2003,12,924.9038522131741,analy_dry75
2004,01,22.714316484052688,analy_dry75
2004,02,7.592932791158091,analy_dry75
2004,03,10.078303366026375,analy_dry75
2004,04,13.511919825396035,analy_dry75
2004,05,228.55829999316484,analy_dry75
2004,06,296.98309355881065,analy_dry75
2004,07,336.47702978923917,analy_dry75
2004,08,169.34357767459005,analy_dry75
2004,09,212.51172828488052,analy_dry75
2004,10,284.94292739778757,analy_dry75
2004,11,643.8181308098137,analy_dry75
2004,12,489.67920751310885,analy_dry75
2005,01,2.287683237955207,analy_dry75
2005,02,0.48994991580002534,analy_dry75
2005,03,4.630369012375013,analy_dry75
2005,04,43.232962576439604,analy_dry75
2005,05,252.93026911094785,analy_dry75
2005,06,275.4362889099866,analy_dry75
2005,07,336.346850451082,analy_dry75
2005,08,141.15125422831625,analy_dry75
2005,09,168.17810232751071,analy_dry75
