pft,R_avg,R_sd,R_avg_ED2,R_sd_ED2,mean_pct_light,eVl,dtVdi
LD_DI,0.008926347251274539,4.997690529533983e-4,0.5552289146690159,0.07838866557295188,0.010000000000000004,NA,NA
LD_DT,0.022416199124932954,7.274213849037356e-4,0.7183369723826889,0.07703261201648315,0.010000000000000004,NA,NA
ST_DI,0.04647254671153524,0.002461107441897161,0.4468052933941529,0.03721151003472447,0.010000000000000004,NA,NA
ST_DT,0.06981454295933778,0.0032259360989196515,0.4970325474134903,0.01851334952042631,0.010000000000000004,NA,NA
LD_DI,0.011949990769843035,6.624024947164198e-4,0.5552289146690159,0.07838866557295188,0.01274274985703134,NA,NA
LD_DT,0.0300591584547853,9.86208079312295e-4,0.7183369723826889,0.07703261201648315,0.01274274985703134,NA,NA
ST_DI,0.05638760667573205,0.002956313930367169,0.4468052933941529,0.03721151003472447,0.01274274985703134,NA,NA
ST_DT,0.08458687275063478,0.0038208766198704848,0.4970325474134903,0.01851334952042631,0.01274274985703134,NA,NA
LD_DI,0.016128772264996524,8.834201865828079e-4,0.5552289146690159,0.07838866557295188,0.01623776739188723,NA,NA
LD_DT,0.04065744217140296,0.001352770549759375,0.7183369723826889,0.07703261201648315,0.01623776739188723,NA,NA
ST_DI,0.06820741508200036,0.0035349684586120913,0.4468052933941529,0.03721151003472447,0.01623776739188723,NA,NA
ST_DT,0.10214187489068534,0.004491784846595302,0.4970325474134903,0.01851334952042631,0.01623776739188723,NA,NA
LD_DI,0.02197957692255715,0.0011870998345323762,0.5552289146690159,0.07838866557295188,0.020691380811147905,NA,NA
LD_DT,0.05555931241971157,0.0018809107633341105,0.7183369723826889,0.07703261201648315,0.020691380811147905,NA,NA
ST_DI,0.08220115315580216,0.004204922783882396,0.4468052933941529,0.03721151003472447,0.020691380811147905,NA,NA
ST_DT,0.12284820663849932,0.005234936491742055,0.4970325474134903,0.01851334952042631,0.020691380811147905,NA,NA
LD_DI,0.030284144472739118,0.001609373291177762,0.5552289146690159,0.07838866557295188,0.026366508987303586,NA,NA
LD_DT,0.07682375498897079,0.0026538980270446547,0.7183369723826889,0.07703261201648315,0.026366508987303586,NA,NA
ST_DI,0.09863090429958225,0.004972570165298463,0.4468052933941529,0.03721151003472447,0.026366508987303586,NA,NA
ST_DT,0.14705174227407597,0.006040819325830526,0.4970325474134903,0.01851334952042631,0.026366508987303586,NA,NA
LD_DI,0.042222925923596374,0.002203264184273987,0.5552289146690159,0.07838866557295188,0.03359818286283783,NA,NA
LD_DT,0.10759638074120918,0.0037968854868568316,0.7183369723826889,0.07703261201648315,0.03359818286283783,NA,NA
ST_DI,0.11772574831721547,0.005842057811585718,0.4468052933941529,0.03721151003472447,0.03359818286283783,NA,NA
ST_DT,0.1750346775801844,0.006893171848280594,0.4970325474134903,0.01851334952042631,0.03359818286283783,NA,NA
LD_DI,0.0595372786750345,0.0030448303043283825,0.5552289146690159,0.07838866557295188,0.04281332398719396,NA,NA
LD_DT,0.15258112313324815,0.005483119197448047,0.7183369723826889,0.07703261201648315,0.04281332398719396,NA,NA
ST_DI,0.13964409290691684,0.006814458567559196,0.4468052933941529,0.03721151003472447,0.04281332398719396,NA,NA
ST_DT,0.20695816290080293,0.0077689119061332985,0.4970325474134903,0.01851334952042631,0.04281332398719396,NA,NA
LD_DI,0.08462515374720188,0.004235220578432433,0.5552289146690159,0.07838866557295188,0.0545559478116852,NA,NA
LD_DT,0.21835045054319938,0.007906885968138338,0.7183369723826889,0.07703261201648315,0.0545559478116852,NA,NA
ST_DI,0.1644225901266678,0.007886914533900977,0.4468052933941529,0.03721151003472447,0.0545559478116852,NA,NA
ST_DT,0.2427873610273441,0.0086395717014319,0.4970325474134903,0.01851334952042631,0.0545559478116852,NA,NA
LD_DI,0.12025491679974022,0.005889427259648043,0.5552289146690159,0.07838866557295188,0.06951927961775607,NA,NA
LD_DT,0.31257195691077877,0.011169646122670641,0.7183369723826889,0.07703261201648315,0.06951927961775607,NA,NA
ST_DI,0.19191260808827731,0.00905164390530387,0.4468052933941529,0.03721151003472447,0.06951927961775607,NA,NA
ST_DT,0.2822023389099529,0.009474675709813897,0.4970325474134903,0.01851334952042631,0.06951927961775607,NA,NA
LD_DI,0.1682339528805433,0.008106922819972287,0.5552289146690159,0.07838866557295188,0.0885866790410083,NA,NA
LD_DT,0.4401009682673614,0.015074060313311951,0.7183369723826889,0.07703261201648315,0.0885866790410083,NA,NA
ST_DI,0.22171096366573356,0.010294494074294872,0.4468052933941529,0.03721151003472447,0.0885866790410083,NA,NA
ST_DT,0.3245070936928269,0.010246777389244403,0.4970325474134903,0.01851334952042631,0.0885866790410083,NA,NA
LD_DI,0.2265698694786488,0.010946324210298586,0.5552289146690159,0.07838866557295188,0.11288378916846892,NA,NA
LD_DT,0.5944089717142457,0.01915906008692011,0.7183369723826889,0.07703261201648315,0.11288378916846892,NA,NA
ST_DI,0.2531014729582873,0.011592583222617393,0.4468052933941529,0.03721151003472447,0.11288378916846892,NA,NA
ST_DT,0.36856304781124816,0.01093655337502147,0.4970325474134903,0.01851334952042631,0.11288378916846892,NA,NA
LD_DI,0.28708721448950025,0.014385872590611628,0.5552289146690159,0.07838866557295188,0.1438449888287663,NA,NA
LD_DT,0.7506470656820852,0.02345683310869677,0.7183369723826889,0.07703261201648315,0.1438449888287663,NA,NA
ST_DI,0.2850365787040744,0.012910929363502044,0.4468052933941529,0.03721151003472447,0.1438449888287663,NA,NA
ST_DT,0.41278952553093184,0.011535237473133723,0.4970325474134903,0.01851334952042631,0.1438449888287663,NA,NA
LD_DI,0.338465385519902,0.018138097599506464,0.5552289146690159,0.07838866557295188,0.18329807108324367,NA,NA
LD_DT,0.8762024501238649,0.028468580850498942,0.7183369723826889,0.07703261201648315,0.18329807108324367,NA,NA
ST_DI,0.31619710660751266,0.01419931535719602,0.4468052933941529,0.03721151003472447,0.18329807108324367,NA,NA
ST_DT,0.45528122296544116,0.012042636612521,0.4970325474134903,0.01851334952042631,0.18329807108324367,NA,NA
LD_DI,0.3742230162261313,0.021626830116471256,0.5552289146690159,0.07838866557295188,0.23357214690901223,NA,NA
LD_DT,0.955358006300612,0.03347946001878126,0.7183369723826889,0.07703261201648315,0.23357214690901223,NA,NA
ST_DI,0.3451592807594677,0.015392592771506512,0.4468052933941529,0.03721151003472447,0.23357214690901223,NA,NA
ST_DT,0.49407251275880626,0.012462615172753795,0.4970325474134903,0.01851334952042631,0.23357214690901223,NA,NA
LD_DI,0.3959341428762091,0.02448699605865332,0.5552289146690159,0.07838866557295188,0.29763514416313186,NA,NA
LD_DT,0.9962769679472859,0.0374319612576971,0.7183369723826889,0.07703261201648315,0.29763514416313186,NA,NA
ST_DI,0.3706579405980748,0.016418082945239745,0.4468052933941529,0.03721151003472447,0.29763514416313186,NA,NA
ST_DT,0.527516214326084,0.012799760121720113,0.4970325474134903,0.01851334952042631,0.29763514416313186,NA,NA
LD_DI,0.4088517889121326,0.02678956717797431,0.5552289146690159,0.07838866557295188,0.3792690190732249,NA,NA
LD_DT,1.0156544686341082,0.04042160215466251,0.7183369723826889,0.07703261201648315,0.3792690190732249,NA,NA
ST_DI,0.3918702508613739,0.017210824269907932,0.4468052933941529,0.03721151003472447,0.3792690190732249,NA,NA
ST_DT,0.5546579489028406,0.01305649783855228,0.4970325474134903,0.01851334952042631,0.3792690190732249,NA,NA
LD_DI,0.4172793095637835,0.02873399053548133,0.5552289146690159,0.07838866557295188,0.4832930238571753,NA,NA
LD_DT,1.0256807985419085,0.04298047436526819,0.7183369723826889,0.07703261201648315,0.4832930238571753,NA,NA
ST_DI,0.4085978357721509,0.017733269553209387,0.4468052933941529,0.03721151003472447,0.4832930238571753,NA,NA
ST_DT,0.575439685393195,0.01322825850925563,0.4970325474134903,0.01851334952042631,0.4832930238571753,NA,NA
LD_DI,0.42343322255356347,0.030416725840310452,0.5552289146690159,0.07838866557295188,0.6158482110660262,NA,NA
LD_DT,1.0320579555416232,0.045329922413765975,0.7183369723826889,0.07703261201648315,0.6158482110660262,NA,NA
ST_DI,0.421250769882647,0.01799406395717248,0.4468052933941529,0.03721151003472447,0.6158482110660262,NA,NA
ST_DT,0.5906214471589142,0.013304230893354559,0.4970325474134903,0.01851334952042631,0.6158482110660262,NA,NA
LD_DI,0.42819929154279596,0.03184794686637108,0.5552289146690159,0.07838866557295188,0.7847599703514615,NA,NA
LD_DT,1.0367536023966153,0.047429693431871804,0.7183369723826889,0.07703261201648315,0.7847599703514615,NA,NA
ST_DI,0.4306364891074608,0.018058709328130664,0.4468052933941529,0.03721151003472447,0.7847599703514615,NA,NA
ST_DT,0.6014526304005678,0.013282815360845385,0.4970325474134903,0.01851334952042631,0.7847599703514615,NA,NA
LD_DI,0.4319441036277706,0.03303491881343173,0.5552289146690159,0.07838866557295188,1,NA,NA
LD_DT,1.0403801912026065,0.04922347731350573,0.7183369723826889,0.07703261201648315,1,NA,NA
ST_DI,0.43766133847204863,0.01804226471338112,0.4468052933941529,0.03721151003472447,1,NA,NA
ST_DT,0.6092533052894746,0.013191694584975986,0.4970325474134903,0.01851334952042631,1,NA,NA
