yr,month,day,pft,date,dbh,N_co,SMP,NPP,c_repro,FSDS,nppseed_pft_day,water_def,H20_mort_rate,e_frac,ED2_R,light
2001,01,1,ST_DT,2001-01-01T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,2,ST_DT,2001-01-02T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,3,ST_DT,2001-01-03T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,4,ST_DT,2001-01-04T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,5,ST_DT,2001-01-05T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,6,ST_DT,2001-01-06T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,7,ST_DT,2001-01-07T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,8,ST_DT,2001-01-08T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,9,ST_DT,2001-01-09T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,10,ST_DT,2001-01-10T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,11,ST_DT,2001-01-11T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,12,ST_DT,2001-01-12T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,13,ST_DT,2001-01-13T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,14,ST_DT,2001-01-14T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,15,ST_DT,2001-01-15T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,16,ST_DT,2001-01-16T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,17,ST_DT,2001-01-17T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,18,ST_DT,2001-01-18T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,19,ST_DT,2001-01-19T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,20,ST_DT,2001-01-20T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,21,ST_DT,2001-01-21T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,22,ST_DT,2001-01-22T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
2001,01,23,ST_DT,2001-01-23T00:00:00Z,168.874879914679,11489.301705863054,-15744.653701782227,0.8443286875046467,165.3037451117251,19207090.72265625,0.17967536418069877,0,0,0.014312016652078553,0.5615883091173157,0.384141814453125
