yr,month,pft,NPP,SMP,run
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,01,LD_DI,0.8342557196529399,-5063.686370849609,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,02,LD_DI,0.7880452401016368,-23211.849212646484,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
2001,03,LD_DI,0.22868520192632963,-60128.15856933594,ED2_wet
