"","year","pft","submodel","ED2"
"1",2001-01-01,"LD_DI",0,0.161446623536695
"2",2001-01-01,"LD_DT",0,0.244369851280457
"3",2001-01-01,"ST_DI",0,0.137817031225382
"4",2001-01-01,"ST_DT",0,0.146840788517374
"5",2002-01-01,"LD_DI",72.7246844305732,34.4995804527586
"6",2002-01-01,"LD_DT",189.819110775895,60.1463582734227
"7",2002-01-01,"ST_DI",25.42627219402,31.7263372354613
"8",2002-01-01,"ST_DT",56.5730706503247,41.5228432721793
"9",2003-01-01,"LD_DI",108.986166480144,34.2561755027149
"10",2003-01-01,"LD_DT",280.475128540264,60.6498636993254
"11",2003-01-01,"ST_DI",49.8880298012255,32.1619617735175
"12",2003-01-01,"ST_DT",100.892194865466,41.1437676136152
"13",2004-01-01,"LD_DI",108.779926437861,34.5331247134796
"14",2004-01-01,"LD_DT",277.653326338111,61.8623719369826
"15",2004-01-01,"ST_DI",54.3467805259126,33.4078130554429
"16",2004-01-01,"ST_DT",107.490604707229,42.6024506607417
"17",2005-01-01,"LD_DI",122.882400757263,40.5150234713212
"18",2005-01-01,"LD_DT",306.134368529228,68.5215337879622
"19",2005-01-01,"ST_DI",61.4752462006988,37.6066737069125
"20",2005-01-01,"ST_DT",114.248274913769,45.2602268481031
"21",2006-01-01,"LD_DI",115.260335323079,39.6880946620101
"22",2006-01-01,"LD_DT",298.198646543621,68.0699796374966
"23",2006-01-01,"ST_DI",56.8297686958022,37.4586346559169
"24",2006-01-01,"ST_DT",98.7162912581483,43.8016760558258
"25",2007-01-01,"LD_DI",120.979196852119,38.9761226309906
"26",2007-01-01,"LD_DT",316.586887099297,67.6040180542341
"27",2007-01-01,"ST_DI",64.8478040102524,37.2918457407115
"28",2007-01-01,"ST_DT",116.405172844493,44.8213248015226
"29",2008-01-01,"LD_DI",97.1548592654384,31.2130620138215
"30",2008-01-01,"LD_DT",271.146843993269,56.6231337216387
"31",2008-01-01,"ST_DI",55.4509472957055,30.7501174781198
"32",2008-01-01,"ST_DT",109.917563003385,39.4142642397265
"33",2009-01-01,"LD_DI",94.9399034538883,33.047145419481
"34",2009-01-01,"LD_DT",269.754972841199,59.4978253046428
"35",2009-01-01,"ST_DI",48.7525754026677,30.9783529604357
"36",2009-01-01,"ST_DT",97.9690000018388,40.1830763163418
"37",2010-01-01,"LD_DI",94.5691257982175,33.0270835883829
"38",2010-01-01,"LD_DT",272.58161860363,60.1455209467501
"39",2010-01-01,"ST_DI",51.7675378997252,32.3312289190006
"40",2010-01-01,"ST_DT",102.476418007332,40.3923063819729
"41",2011-01-01,"LD_DI",98.7318672719436,33.5866604483066
"42",2011-01-01,"LD_DT",282.950524420493,62.26785078237
"43",2011-01-01,"ST_DI",53.394045413978,32.9352479365028
"44",2011-01-01,"ST_DT",103.434776674599,41.118175674787
"45",2012-01-01,"LD_DI",115.915906174415,39.0224012841658
"46",2012-01-01,"LD_DT",316.324857808203,69.5616513911579
"47",2012-01-01,"ST_DI",66.0073847690894,37.792312876983
"48",2012-01-01,"ST_DT",119.408620282858,44.130493477757
"49",2013-01-01,"LD_DI",105.725408034627,37.4596785228096
"50",2013-01-01,"LD_DT",304.470425485921,69.093336498036
"51",2013-01-01,"ST_DI",60.1750695324665,37.4661983976272
"52",2013-01-01,"ST_DT",109.475072078261,44.1014840232979
"53",2014-01-01,"LD_DI",102.586633549398,35.9657665366194
"54",2014-01-01,"LD_DT",306.854622408959,69.3352406384532
"55",2014-01-01,"ST_DI",61.4211582819422,37.6124726352977
"56",2014-01-01,"ST_DT",111.668993777309,44.4339097283794
"57",2015-01-01,"LD_DI",87.9563164404603,29.0935029326078
"58",2015-01-01,"LD_DT",272.208334241243,58.1890054470524
"59",2015-01-01,"ST_DI",54.8636320023702,30.9834213856983
"60",2015-01-01,"ST_DT",108.140172967479,39.0944695908736
"61",2016-01-01,"LD_DI",87.5119533426686,31.2594764693109
"62",2016-01-01,"LD_DT",273.543489299945,62.6001307327629
"63",2016-01-01,"ST_DI",47.9446190105865,31.3677583674364
"64",2016-01-01,"ST_DT",95.8431147639128,39.9168615018293
"65",2017-01-01,"LD_DI",85.8504477881893,30.9551781537938
"66",2017-01-01,"LD_DT",273.157109007752,62.5995294917845
"67",2017-01-01,"ST_DI",51.5049918292295,31.8357401850934
"68",2017-01-01,"ST_DT",102.668270307032,40.5588041597586
"69",2018-01-01,"LD_DI",90.1991264305549,31.3743238690507
"70",2018-01-01,"LD_DT",287.969337661706,64.7499144469474
"71",2018-01-01,"ST_DI",50.8239266869476,31.6895809713499
"72",2018-01-01,"ST_DT",102.214008619876,42.0818356794657
"73",2019-01-01,"LD_DI",107.004081352381,37.0330912112444
"74",2019-01-01,"LD_DT",316.847398042324,72.0291734679926
"75",2019-01-01,"ST_DI",61.3090058834546,36.3514864909957
"76",2019-01-01,"ST_DT",114.566609645163,45.4133958431511
"77",2020-01-01,"LD_DI",98.000530710147,36.0255721386215
"78",2020-01-01,"LD_DT",299.398546477918,72.3586765418042
"79",2020-01-01,"ST_DI",56.6369228715283,35.8493314044224
"80",2020-01-01,"ST_DT",106.708716053024,45.5385534608008
"81",2021-01-01,"LD_DI",101.041795960547,34.9863319458762
"82",2021-01-01,"LD_DT",308.148432552567,71.3637809489421
"83",2021-01-01,"ST_DI",53.5982458135992,33.8198853397115
"84",2021-01-01,"ST_DT",111.982809821147,45.429951491469
"85",2022-01-01,"LD_DI",81.8490796862058,28.8310950203986
"86",2022-01-01,"LD_DT",254.299560626688,58.5273590432827
