pft,start_date,end_date,R_avg,param_changed
LD_DI,2010-01-01,2015-01-30,0.020201447195189133,M_background
LD_DT,2010-01-01,2015-01-30,0.059265715992278215,M_background
ST_DI,2010-01-01,2015-01-30,0.08974410153335372,M_background
ST_DT,2010-01-01,2015-01-30,0.18323745235185487,M_background
LD_DI,2010-01-01,2015-01-30,0.022128900046487328,a_TR
LD_DT,2010-01-01,2015-01-30,0.06492184263361474,a_TR
ST_DI,2010-01-01,2015-01-30,0.0959851658209573,a_TR
ST_DT,2010-01-01,2015-01-30,0.19343982138057583,a_TR
LD_DI,2010-01-01,2015-01-30,0.018015410578620526,b_TR
LD_DT,2010-01-01,2015-01-30,0.05288159479405449,b_TR
ST_DI,2010-01-01,2015-01-30,0.08703502628454196,b_TR
ST_DT,2010-01-01,2015-01-30,0.17731015319404586,b_TR
LD_DI,2010-01-01,2015-01-30,0.018412847015516504,Z0
LD_DT,2010-01-01,2015-01-30,0.054027412026268214,Z0
ST_DI,2010-01-01,2015-01-30,0.08322754709204297,Z0
ST_DT,2010-01-01,2015-01-30,0.16861923837848444,Z0
