yr,pft,ba_per_pft,run
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151223.19502147287,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151110.22429947555,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
2001,LD_DI,151174.44068125635,ED2_output
