yr,month,pft,NPP,SMP,run
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,01,LD_DI,0.6585980790045042,-20100.04425048828,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,02,LD_DI,-0.027961314108963263,-78453.81927490234,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
2001,03,LD_DI,-0.558118009774117,-132246.73461914062,ED2_ENSO
