year,pft,model,R,facet_var
2044-01-01,ST_DT,submodel,69.7432484954575,submodel 2% TOC
2006-01-01,LD_DI,ED2,57.38740434713503,ED2 2% TOC
2006-01-01,LD_DT,ED2,76.96262299217024,ED2 2% TOC
2006-01-01,ST_DI,ED2,44.02154399290909,ED2 2% TOC
2006-01-01,ST_DT,ED2,49.053942870749154,ED2 2% TOC
2008-01-01,LD_DI,ED2,58.73429602787921,ED2 2% TOC
2008-01-01,LD_DT,ED2,74.63312303982731,ED2 2% TOC
2008-01-01,ST_DI,ED2,45.759322951051466,ED2 2% TOC
2008-01-01,ST_DT,ED2,48.71027571200374,ED2 2% TOC
2010-01-01,LD_DI,ED2,58.72748782500162,ED2 2% TOC
2010-01-01,LD_DT,ED2,72.43829603441195,ED2 2% TOC
2010-01-01,ST_DI,ED2,46.28752978504149,ED2 2% TOC
2010-01-01,ST_DT,ED2,48.195273410861496,ED2 2% TOC
2012-01-01,LD_DI,ED2,62.89989720711988,ED2 2% TOC
2012-01-01,LD_DT,ED2,69.68066728278977,ED2 2% TOC
2012-01-01,ST_DI,ED2,46.23292489108907,ED2 2% TOC
2012-01-01,ST_DT,ED2,48.00446762030106,ED2 2% TOC
2014-01-01,LD_DI,ED2,66.77692695575784,ED2 2% TOC
2014-01-01,LD_DT,ED2,67.19553736829339,ED2 2% TOC
2014-01-01,ST_DI,ED2,47.756047001777176,ED2 2% TOC
2014-01-01,ST_DT,ED2,47.66424873400739,ED2 2% TOC
2016-01-01,LD_DI,ED2,69.75491024514083,ED2 2% TOC
2016-01-01,LD_DT,ED2,63.50757914287407,ED2 2% TOC
2016-01-01,ST_DI,ED2,45.407824496095,ED2 2% TOC
2016-01-01,ST_DT,ED2,46.86308630744629,ED2 2% TOC
2018-01-01,LD_DI,ED2,71.5772646850242,ED2 2% TOC
2018-01-01,LD_DT,ED2,61.907417790583715,ED2 2% TOC
2018-01-01,ST_DI,ED2,48.72159592897652,ED2 2% TOC
2018-01-01,ST_DT,ED2,46.44078550416479,ED2 2% TOC
2020-01-01,LD_DI,ED2,73.2902278081068,ED2 2% TOC
2020-01-01,LD_DT,ED2,59.134814709904504,ED2 2% TOC
2020-01-01,ST_DI,ED2,49.05546812770379,ED2 2% TOC
2020-01-01,ST_DT,ED2,46.477992602146216,ED2 2% TOC
2022-01-01,LD_DI,ED2,74.86765155614972,ED2 2% TOC
2022-01-01,LD_DT,ED2,57.91123125212383,ED2 2% TOC
2022-01-01,ST_DI,ED2,49.942224775799154,ED2 2% TOC
2022-01-01,ST_DT,ED2,46.31820750842924,ED2 2% TOC
2024-01-01,LD_DI,ED2,77.66991943895088,ED2 2% TOC
2024-01-01,LD_DT,ED2,54.7258007322531,ED2 2% TOC
2024-01-01,ST_DI,ED2,51.612064306738404,ED2 2% TOC
2024-01-01,ST_DT,ED2,46.34801758468437,ED2 2% TOC
2026-01-01,LD_DI,ED2,80.74942318138122,ED2 2% TOC
2026-01-01,LD_DT,ED2,51.721700336309205,ED2 2% TOC
2026-01-01,ST_DI,ED2,51.14549375824269,ED2 2% TOC
2026-01-01,ST_DT,ED2,45.467303194469864,ED2 2% TOC
2028-01-01,LD_DI,ED2,81.98627187377862,ED2 2% TOC
2028-01-01,LD_DT,ED2,50.75127913580798,ED2 2% TOC
2028-01-01,ST_DI,ED2,52.15712095413012,ED2 2% TOC
2028-01-01,ST_DT,ED2,44.76213831068754,ED2 2% TOC
2030-01-01,LD_DI,ED2,83.91592123520748,ED2 2% TOC
2030-01-01,LD_DT,ED2,48.58730903380129,ED2 2% TOC
2030-01-01,ST_DI,ED2,53.2206258166145,ED2 2% TOC
2030-01-01,ST_DT,ED2,43.875238631852284,ED2 2% TOC
2032-01-01,LD_DI,ED2,83.32130730392015,ED2 2% TOC
2032-01-01,LD_DT,ED2,48.06142361782631,ED2 2% TOC
2032-01-01,ST_DI,ED2,53.738224033614664,ED2 2% TOC
2032-01-01,ST_DT,ED2,43.271812413063095,ED2 2% TOC
2034-01-01,LD_DI,ED2,85.57456199049906,ED2 2% TOC
